# platform=windows kernel=winnt host=LGE217-00157a sample_rate=48000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,480,0,1.0,0.147,0.088,0.059,0.003,0.000,0.021,0.001,0.023,0.0,0.0,0.0,0.0,0.0,0.0
2,480,0,1.0,0.078,0.052,0.026,0.002,0.000,0.013,0.000,0.010,0.0,0.0,0.0,0.0,0.0,0.0
3,480,0,1.0,0.084,0.044,0.040,0.003,0.000,0.027,0.000,0.010,0.0,0.0,0.0,0.0,0.0,0.0
4,480,0,1.0,0.119,0.085,0.034,0.002,0.001,0.015,0.000,0.016,0.0,0.0,0.0,0.0,0.0,0.0
5,480,0,1.0,0.096,0.063,0.033,0.003,0.000,0.017,0.000,0.012,0.0,0.0,0.0,0.0,0.0,0.0
6,480,0,1.0,0.110,0.035,0.075,0.002,0.001,0.020,0.040,0.011,0.0,0.0,0.0,0.0,0.0,0.0
7,480,0,1.0,0.294,0.235,0.059,0.003,0.000,0.023,0.018,0.015,0.0,0.0,0.0,0.0,0.0,0.0
8,480,0,1.0,0.094,0.040,0.054,0.002,0.000,0.020,0.019,0.013,0.0,0.0,0.0,0.0,0.0,0.0
9,480,0,1.0,0.150,0.052,0.098,0.004,0.001,0.045,0.022,0.025,0.0,0.0,0.0,0.0,0.0,0.0
10,480,0,1.0,0.205,0.042,0.163,0.002,0.001,0.033,0.036,0.090,0.0,0.0,0.0,0.0,0.0,0.0
11,480,0,1.0,0.287,0.144,0.143,0.004,0.000,0.057,0.029,0.052,0.0,0.0,0.0,0.0,0.0,0.0
12,480,0,1.0,0.181,0.055,0.126,0.003,0.001,0.072,0.015,0.034,0.0,0.0,0.0,0.0,0.0,0.0
13,480,0,1.0,0.129,0.051,0.078,0.001,0.001,0.033,0.015,0.027,0.0,0.0,0.0,0.0,0.0,0.0
14,480,0,1.0,0.146,0.043,0.103,0.002,0.001,0.040,0.038,0.022,0.0,0.0,0.0,0.0,0.0,0.0
