# platform=debian kernel=linux host=lg1 sample_rate=48000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0,0.1,0.171,0.075,0.096,0.005,0.000,0.051,0.000,0.031,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0,0.1,0.101,0.031,0.070,0.006,0.001,0.046,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0,0.1,0.212,0.035,0.177,0.006,0.001,0.078,0.062,0.030,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0,0.1,0.218,0.030,0.188,0.006,0.000,0.087,0.065,0.029,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0,0.1,0.299,0.029,0.270,0.005,0.000,0.122,0.106,0.035,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,0,0.1,0.306,0.030,0.276,0.005,0.001,0.182,0.043,0.044,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,0,0.1,0.464,0.030,0.434,0.006,0.000,0.265,0.114,0.048,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,0,0.1,0.495,0.031,0.464,0.006,0.000,0.344,0.058,0.055,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,0,0.1,0.618,0.034,0.584,0.006,0.001,0.454,0.061,0.062,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,0,0.1,0.738,0.031,0.707,0.005,0.001,0.571,0.061,0.068,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,0,0.1,0.322,0.045,0.277,0.006,0.000,0.036,0.160,0.074,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,0,0.1,0.820,0.035,0.785,0.006,0.001,0.644,0.056,0.077,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,0,0.1,0.920,0.035,0.885,0.006,0.001,0.718,0.059,0.101,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,0,0.1,0.929,0.029,0.900,0.005,0.001,0.743,0.058,0.092,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,0,0.1,0.984,0.032,0.952,0.006,0.000,0.792,0.056,0.097,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,0,0.1,1.042,0.033,1.009,0.006,0.000,0.842,0.054,0.106,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,0,0.1,0.847,0.035,0.812,0.006,0.000,0.654,0.052,0.100,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,0,0.1,0.691,0.029,0.662,0.005,0.000,0.495,0.055,0.106,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,0,0.1,0.436,0.038,0.398,0.005,0.001,0.180,0.099,0.113,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,0,0.1,0.850,0.030,0.820,0.005,0.001,0.643,0.052,0.118,0.0,0.0,0.0,0.0,0.0,0.0
21,1024,0,0.1,0.859,0.033,0.826,0.005,0.001,0.644,0.051,0.123,0.0,0.0,0.0,0.0,0.0,0.0
