frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,25.7,82.5,7.4,11.5,2.6,1668.9,16214.9,84.3,2400.0,917512
200,30.2,98.7,6.4,12.5,2.1,1673.8,16214.9,84.8,2400.0,917510
300,29.2,99.2,4.5,11.8,1.6,1694.7,16214.9,85.4,2400.0,917510
400,30.0,99.2,5.3,14.2,0.8,1699.9,16214.9,85.4,2400.0,917510
500,29.6,99.2,2.3,17.0,1.2,1700.0,16214.9,85.9,2400.0,917510
600,29.2,99.2,1.2,14.5,0.8,1698.0,16214.9,83.2,2400.0,917512
700,29.1,99.2,1.2,15.2,0.4,1697.9,16214.9,83.7,2400.0,917512
800,29.2,99.3,4.0,7.2,6.9,1694.8,16214.9,85.4,2400.0,917510
900,29.7,98.9,4.5,8.2,8.3,1696.3,16214.9,85.9,2400.0,917510
1000,29.8,99.3,4.4,8.7,8.2,1697.4,16214.9,85.4,2400.0,917510
1100,29.7,99.3,3.8,8.2,7.8,1697.4,16214.9,84.8,2400.0,917510
1200,29.8,99.3,6.1,6.3,9.0,1700.7,16214.9,85.4,2400.0,917510
1300,30.1,32.7,6.4,6.6,75.9,1687.1,16214.9,85.4,2400.0,917510
1400,30.0,10.2,7.1,4.0,99.3,1682.1,16214.9,85.9,2400.0,917510
1500,30.1,9.4,7.0,5.4,99.2,1680.8,16214.9,85.4,2400.0,917510
1600,29.0,8.9,1.9,4.2,98.9,1680.9,16214.9,85.4,2400.0,917510
1700,29.4,12.4,1.2,4.5,99.2,1682.8,16214.9,85.4,2400.0,917510
1800,29.2,9.2,1.9,4.7,99.2,1680.2,16214.9,85.4,2400.0,917510
1900,28.5,7.4,1.5,5.1,98.9,1683.0,16214.9,85.4,2400.0,917510
2000,28.5,8.8,1.8,96.5,6.2,1681.5,16214.9,85.9,2400.0,917510
2100,28.4,9.1,0.7,99.0,2.2,1679.4,16214.9,84.8,2400.0,917510
2200,29.0,9.5,1.1,99.2,6.4,1678.8,16214.9,85.4,2400.0,917510
2300,29.2,12.3,1.7,99.3,3.7,1685.1,16214.9,86.5,2400.0,917510
2400,28.6,8.2,1.8,99.3,5.4,1686.4,16214.9,85.4,2400.0,917510
2500,28.7,8.8,1.4,99.3,4.8,1685.8,16214.9,85.4,2400.0,917510
2600,28.5,7.7,1.2,99.2,5.1,1681.8,16214.9,84.8,2400.0,917510
2700,29.2,10.0,1.1,98.9,5.8,1681.4,16214.9,85.4,2400.0,917510
2800,28.4,9.2,0.7,99.3,3.3,1680.3,16214.9,85.4,2400.0,917510
2900,29.4,11.3,1.4,99.3,5.4,1680.3,16214.9,84.8,2400.0,917510
3000,28.4,57.4,16.4,30.7,9.2,1679.6,16214.9,84.8,2400.0,917510
3100,28.5,8.3,47.1,53.9,4.1,1679.9,16214.9,85.4,2400.0,917510
3200,29.1,10.8,42.3,58.3,4.3,1679.9,16214.9,85.4,2400.0,917510
3300,29.5,9.3,98.9,5.9,4.1,1678.0,16214.9,84.3,2400.0,917512
3400,30.0,8.9,99.3,7.3,5.2,1684.7,16214.9,85.9,2400.0,917510
3500,28.4,8.4,99.3,0.7,5.0,1682.8,16214.9,85.9,2400.0,917510
3600,29.1,11.7,99.3,1.1,4.5,1681.4,16214.9,85.9,2400.0,917510
3700,28.6,8.7,99.3,0.7,4.3,1679.6,16214.9,84.8,2400.0,917510
3800,28.6,7.4,81.7,18.8,5.8,1679.7,16214.9,84.8,2400.0,917510
3900,28.4,8.3,0.8,99.2,4.2,1679.0,16214.9,85.9,2400.0,917510
4000,28.5,9.6,1.1,99.3,2.9,1678.2,16214.9,85.4,2400.0,917510
4100,28.6,9.1,1.1,99.3,3.9,1679.9,16214.9,85.4,2400.0,917510
4200,29.3,12.3,1.1,99.3,4.6,1680.6,16214.9,85.4,2400.0,917510
4300,28.1,7.7,1.0,99.0,3.5,1679.9,16214.9,83.7,2400.0,917512
4400,28.5,9.1,1.5,99.3,4.2,1680.4,16214.9,84.8,2400.0,917510
4500,28.6,7.9,1.5,99.3,4.8,1686.4,16214.9,85.4,2400.0,917510
4600,28.2,8.0,0.7,99.3,3.6,1683.0,16214.9,85.9,2400.0,917512
4700,28.5,8.6,1.1,99.2,4.6,1682.9,16214.9,85.4,2400.0,917510
4800,28.8,9.8,1.5,99.3,5.4,1681.7,16214.9,85.4,2400.0,917510
4900,28.4,7.1,1.5,99.3,4.8,1679.7,16214.9,85.9,2400.0,917510
5000,28.0,6.5,1.1,99.3,3.8,1678.1,16214.9,84.3,2400.0,917510
5100,28.2,7.7,0.3,99.3,4.4,1676.1,16214.9,85.9,2400.0,917510
5200,28.6,8.2,0.7,99.3,4.9,1681.2,16214.9,85.9,2400.0,917510
5300,28.3,8.8,1.1,99.3,3.9,1679.6,16214.9,85.9,2400.0,917510
5400,28.8,10.7,0.7,99.3,4.7,1680.7,16214.9,84.8,2400.0,917510
5500,28.6,7.4,2.1,99.3,4.8,1683.6,16214.9,84.3,2400.0,917512
5600,28.3,6.9,1.1,99.3,4.9,1684.8,16214.9,86.5,2400.0,917510
5700,28.2,7.3,3.3,98.9,2.2,1679.7,16214.9,85.4,2400.0,917510
5800,28.4,8.4,3.1,99.6,1.5,1682.9,16214.9,84.8,2400.0,917510
5900,27.9,7.5,3.0,99.3,1.1,1681.1,16214.9,85.4,2400.0,917510
6000,28.9,11.8,3.1,99.2,0.8,1680.0,16214.9,85.4,2400.0,917510
6100,28.0,7.6,0.4,99.3,3.4,1682.7,16214.9,84.3,2400.0,917510
6200,28.1,7.2,1.7,99.3,4.4,1681.2,16214.9,84.3,2400.0,917512
6300,27.9,6.2,0.7,99.3,3.6,1680.4,16214.9,84.8,2400.0,917510
6400,27.5,7.0,0.3,99.3,3.0,1683.0,16214.9,84.8,2400.0,917510
6500,28.0,6.8,1.4,99.3,3.2,1683.8,16214.9,83.7,2400.0,917512
6600,28.4,7.9,1.4,99.3,4.3,1690.6,16214.9,85.4,2400.0,917510
6700,28.1,7.1,1.7,99.3,3.7,1685.8,16214.9,84.3,2400.0,917512
6800,28.2,8.5,1.4,99.3,3.9,1686.6,16214.9,85.9,2400.0,917510
6900,27.8,7.4,1.0,99.3,2.3,1682.6,16214.9,85.4,2400.0,917510
7000,27.9,7.9,0.3,99.3,2.7,1685.3,16214.9,84.3,2400.0,917512
7100,28.0,7.6,0.6,99.4,3.8,1684.1,16214.9,86.5,2400.0,917510
