# platform=debian kernel=linux host=lg1 sample_rate=192000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,3972,0,0.1,0.152,0.040,0.112,0.016,0.001,0.075,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.0
2,4096,0,0.1,0.180,0.060,0.120,0.017,0.001,0.085,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.0
3,4096,0,0.1,0.329,0.036,0.293,0.016,0.000,0.112,0.128,0.036,0.0,0.0,0.0,0.0,0.0,0.0
4,4096,0,0.1,0.421,0.031,0.390,0.017,0.000,0.149,0.176,0.047,0.0,0.0,0.0,0.0,0.0,0.0
5,4096,0,0.1,0.552,0.028,0.524,0.017,0.000,0.196,0.244,0.066,0.0,0.0,0.0,0.0,0.0,0.0
6,4096,0,0.1,0.551,0.035,0.516,0.016,0.000,0.246,0.146,0.106,0.0,0.0,0.0,0.0,0.0,0.0
7,4096,0,0.1,0.654,0.034,0.620,0.016,0.001,0.308,0.184,0.109,0.0,0.0,0.0,0.0,0.0,0.0
8,4096,0,0.1,0.774,0.033,0.741,0.017,0.001,0.432,0.153,0.137,0.0,0.0,0.0,0.0,0.0,0.0
9,4096,0,0.1,0.824,0.029,0.795,0.018,0.000,0.464,0.153,0.158,0.0,0.0,0.0,0.0,0.0,0.0
10,4096,0,0.1,0.872,0.028,0.844,0.018,0.001,0.494,0.149,0.180,0.0,0.0,0.0,0.0,0.0,0.0
11,4096,0,0.1,1.014,0.033,0.981,0.018,0.000,0.566,0.205,0.192,0.0,0.0,0.0,0.0,0.0,0.0
12,4096,0,0.1,1.022,0.028,0.994,0.016,0.001,0.610,0.154,0.212,0.0,0.0,0.0,0.0,0.0,0.0
13,4096,0,0.1,1.113,0.036,1.077,0.018,0.000,0.666,0.152,0.239,0.0,0.0,0.0,0.0,0.0,0.0
14,4096,0,0.1,1.122,0.037,1.085,0.017,0.000,0.650,0.165,0.252,0.0,0.0,0.0,0.0,0.0,0.0
15,4096,0,0.1,1.058,0.029,1.029,0.017,0.001,0.583,0.151,0.275,0.0,0.0,0.0,0.0,0.0,0.0
16,4096,0,0.1,1.086,0.038,1.048,0.017,0.000,0.565,0.158,0.305,0.0,0.0,0.0,0.0,0.0,0.0
17,4096,0,0.1,0.664,0.030,0.634,0.017,0.000,0.159,0.146,0.310,0.0,0.0,0.0,0.0,0.0,0.0
18,4096,0,0.1,1.006,0.036,0.970,0.017,0.000,0.478,0.147,0.326,0.0,0.0,0.0,0.0,0.0,0.0
19,4096,0,0.1,1.143,0.037,1.106,0.017,0.001,0.550,0.191,0.347,0.0,0.0,0.0,0.0,0.0,0.0
20,4096,0,0.1,1.137,0.029,1.108,0.016,0.001,0.561,0.159,0.369,0.0,0.0,0.0,0.0,0.0,0.0
21,4096,0,0.1,1.137,0.036,1.101,0.017,0.000,0.536,0.149,0.398,0.0,0.0,0.0,0.0,0.0,0.0
22,4096,0,0.1,1.701,0.060,1.641,0.025,0.001,0.820,0.220,0.574,0.0,0.0,0.0,0.0,0.0,0.0
23,4096,0,0.1,4.047,2.195,1.852,0.027,0.001,0.950,0.229,0.641,0.0,0.0,0.0,0.0,0.0,0.0
24,4096,0,0.1,6.828,4.915,1.913,0.029,0.001,0.965,0.233,0.682,0.0,0.0,0.0,0.0,0.0,0.0
25,4096,0,0.1,10.992,9.569,1.423,0.027,0.002,0.281,0.297,0.813,0.0,0.0,0.0,0.0,0.0,0.0
26,4096,0,0.1,15.519,13.731,1.788,0.027,0.001,1.015,0.191,0.549,0.0,0.0,0.0,0.0,0.0,0.0
27,4096,0,0.1,12.109,10.610,1.499,0.018,0.000,0.693,0.153,0.631,0.0,0.0,0.0,0.0,0.0,0.0
28,4096,0,0.1,9.655,8.216,1.439,0.018,0.001,0.665,0.162,0.589,0.0,0.0,0.0,0.0,0.0,0.0
29,4096,0,0.1,7.552,6.051,1.501,0.019,0.002,0.695,0.163,0.620,0.0,0.0,0.0,0.0,0.0,0.0
30,4096,0,0.1,5.657,4.127,1.530,0.018,0.001,0.716,0.167,0.623,0.0,0.0,0.0,0.0,0.0,0.0
31,4096,0,0.1,3.571,2.104,1.467,0.017,0.000,0.687,0.155,0.607,0.0,0.0,0.0,0.0,0.0,0.0
32,4096,0,0.1,1.469,0.038,1.431,0.017,0.001,0.562,0.182,0.666,0.0,0.0,0.0,0.0,0.0,0.0
33,4096,0,0.1,1.197,0.045,1.152,0.017,0.001,0.232,0.171,0.729,0.0,0.0,0.0,0.0,0.0,0.0
34,4096,0,0.1,1.742,0.047,1.695,0.018,0.000,0.694,0.249,0.730,0.0,0.0,0.0,0.0,0.0,0.0
35,4096,0,0.1,1.725,0.044,1.681,0.018,0.000,0.710,0.237,0.714,0.0,0.0,0.0,0.0,0.0,0.0
36,4096,0,0.1,1.762,0.077,1.685,0.019,0.001,0.692,0.204,0.765,0.0,0.0,0.0,0.0,0.0,0.0
37,4096,0,0.1,3.586,2.031,1.555,0.018,0.000,0.654,0.164,0.717,0.0,0.0,0.0,0.0,0.0,0.0
38,4096,0,0.1,2.960,1.199,1.761,0.018,0.001,0.736,0.187,0.815,0.0,0.0,0.0,0.0,0.0,0.0
39,4096,0,0.1,2.432,0.641,1.791,0.019,0.001,0.811,0.164,0.792,0.0,0.0,0.0,0.0,0.0,0.0
40,4096,0,0.1,1.897,0.476,1.421,0.018,0.000,0.461,0.157,0.783,0.0,0.0,0.0,0.0,0.0,0.0
41,4096,0,0.1,4.927,2.891,2.036,0.025,0.000,0.666,0.214,1.129,0.0,0.0,0.0,0.0,0.0,0.0
42,4096,0,0.1,11.992,9.552,2.440,0.027,0.001,0.969,0.247,1.192,0.0,0.0,0.0,0.0,0.0,0.0
43,4096,0,0.1,20.928,18.123,2.805,0.026,0.000,1.131,0.344,1.302,0.0,0.0,0.0,0.0,0.0,0.0
44,8192,0,0.1,30.098,26.113,3.985,0.052,0.001,2.220,0.453,1.255,0.0,0.0,0.0,0.0,0.0,0.0
45,4096,0,0.1,8.947,6.917,2.030,0.018,0.001,0.868,0.169,0.969,0.0,0.0,0.0,0.0,0.0,0.0
46,4096,0,0.1,8.592,6.634,1.958,0.019,0.002,0.794,0.162,0.978,0.0,0.0,0.0,0.0,0.0,0.0
47,4096,0,0.1,7.373,5.559,1.814,0.019,0.001,0.390,0.255,1.144,0.0,0.0,0.0,0.0,0.0,0.0
48,4096,0,0.1,6.039,4.445,1.594,0.017,0.001,0.478,0.164,0.932,0.0,0.0,0.0,0.0,0.0,0.0
49,4096,0,0.1,4.813,2.758,2.055,0.019,0.001,0.845,0.174,1.013,0.0,0.0,0.0,0.0,0.0,0.0
50,4096,0,0.1,12.099,9.140,2.959,0.026,0.002,1.238,0.246,1.444,0.0,0.0,0.0,0.0,0.0,0.0
51,4096,0,0.1,19.067,16.219,2.848,0.027,0.003,1.109,0.230,1.473,0.0,0.0,0.0,0.0,0.0,0.0
52,8192,0,0.1,27.788,23.531,4.257,0.053,0.001,2.264,0.448,1.486,0.0,0.0,0.0,0.0,0.0,0.0
53,4096,0,0.1,12.764,9.938,2.826,0.026,0.001,0.997,0.263,1.536,0.0,0.0,0.0,0.0,0.0,0.0
