frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.0,28.3,28.0,25.8,25.2,1695.4,16214.9,84.3,2400.0,917512
200,29.6,32.8,32.9,27.8,24.6,1662.8,16214.9,84.8,2400.0,917510
300,28.9,30.9,35.4,24.1,26.0,1684.0,16214.9,84.3,2400.0,917512
400,28.5,30.5,33.4,29.1,20.6,1705.2,16214.9,84.3,2400.0,917512
500,30.9,30.4,33.5,31.4,28.0,1734.8,16214.9,87.0,2400.0,917510
600,34.8,32.8,37.4,44.4,25.3,1713.0,16214.9,85.4,2400.0,917510
700,27.9,35.0,27.0,28.4,20.6,1719.4,16214.9,84.8,2400.0,917510
800,28.5,26.7,30.1,33.9,23.4,1713.0,16214.9,85.4,2400.0,917510
900,28.4,28.0,32.1,30.3,22.9,1713.3,16214.9,85.4,2400.0,917510
1000,28.4,29.4,29.5,31.0,23.5,1722.5,16214.9,85.4,2400.0,917510
1100,28.6,26.5,31.5,29.8,26.9,1720.2,16214.9,85.9,2400.0,917510
1200,28.2,29.6,34.9,27.7,20.8,1722.3,16214.9,85.9,2400.0,917510
1300,28.4,27.4,29.8,29.4,26.8,1722.5,16214.9,87.0,2400.0,917510
1400,28.5,19.5,32.2,28.6,32.9,1717.5,16214.9,85.4,2400.0,917510
1500,28.0,21.9,30.9,30.7,28.8,1717.7,16214.9,85.9,2400.0,917510
1600,28.4,23.6,32.5,30.8,26.2,1717.8,16214.9,85.4,2400.0,917510
1700,28.2,22.4,31.9,27.5,31.5,1714.9,16214.9,85.9,2400.0,917510
1800,28.1,21.1,31.1,28.5,31.4,1724.1,16214.9,84.3,2400.0,917512
1900,28.7,24.7,30.9,33.0,26.4,1724.1,16214.9,85.4,2400.0,917510
2000,28.6,21.2,31.7,30.8,30.3,1725.1,16214.9,85.4,2400.0,917510
2100,29.2,20.8,38.9,27.9,28.6,1717.9,16214.9,85.9,2400.0,917510
2200,28.2,22.5,30.8,27.0,32.3,1723.5,16214.9,85.4,2400.0,917510
2300,28.1,20.6,29.9,29.2,32.5,1716.0,16214.9,85.9,2400.0,917510
2400,27.7,21.6,28.0,25.7,35.1,1718.6,16214.9,85.9,1900.0,917510
2500,28.8,23.2,31.3,28.3,32.7,1721.7,16214.9,84.3,2400.0,917512
2600,27.9,24.0,26.2,26.2,34.8,1720.5,16214.9,85.4,2400.0,917510
2700,28.2,20.2,29.6,31.3,31.8,1715.8,16214.9,85.4,2400.0,917510
2800,28.0,23.0,29.7,28.2,31.3,1720.8,16214.9,84.3,2400.0,917512
2900,28.2,34.5,27.3,20.7,30.0,1719.3,16214.9,85.9,2400.0,917510
3000,28.6,32.6,29.4,22.2,30.2,1726.3,16214.9,84.8,2400.0,917510
3100,28.0,33.4,32.8,18.0,28.9,1721.6,16214.9,85.9,2400.0,917510
3200,28.3,29.1,30.4,22.8,30.2,1722.8,16214.9,85.9,2400.0,917510
3300,27.9,23.1,36.6,22.5,29.3,1718.1,16214.9,85.9,2400.0,917510
3400,27.9,23.8,31.6,36.8,19.0,1718.7,16214.9,85.4,1800.0,917512
3500,28.1,28.7,38.1,23.9,22.7,1718.7,16214.9,85.4,2400.0,917510
3600,27.6,41.3,27.9,22.1,18.6,1719.0,16214.9,85.4,2400.0,917510
3700,28.1,36.1,27.7,25.3,23.8,1719.1,16214.9,84.8,2400.0,917510
3800,28.1,29.1,35.2,27.8,20.1,1720.5,16214.9,84.8,2400.0,917510
3900,28.1,30.7,26.7,34.5,20.1,1716.3,16214.9,84.8,2400.0,917512
4000,28.0,32.0,33.0,30.0,17.6,1719.4,16214.9,85.4,2400.0,917510
4100,27.5,31.8,29.9,31.0,17.3,1722.4,16214.9,85.4,1800.0,917510
4200,27.4,34.9,25.6,31.7,17.6,1721.6,16214.9,85.4,2400.0,917510
4300,28.5,29.9,34.3,28.6,21.3,1720.0,16214.9,84.8,2400.0,917510
4400,27.3,29.0,29.8,32.6,17.6,1721.9,16214.9,85.9,2400.0,917510
4500,27.5,31.5,31.2,26.7,20.9,1724.6,16214.9,85.9,2400.0,917510
4600,27.9,30.7,28.3,32.2,20.5,1721.0,16214.9,85.9,2400.0,917510
4700,28.0,23.3,39.5,31.2,18.0,1723.3,16214.9,84.8,2400.0,917510
4800,28.0,32.5,25.1,35.7,19.3,1724.6,16214.9,84.3,2400.0,917512
4900,28.3,30.8,23.1,39.9,19.4,1730.8,16214.9,85.4,2400.0,917510
5000,27.9,27.2,30.4,34.7,19.2,1723.7,16214.9,85.4,2400.0,917510
5100,27.8,33.4,31.8,30.4,15.5,1721.6,16214.9,84.3,2400.0,917512
5200,27.2,29.1,36.0,27.8,16.1,1720.2,16214.9,85.4,2400.0,917510
5300,28.0,25.3,43.4,26.2,17.6,1718.5,16214.9,85.4,2400.0,917510
5400,27.7,31.8,29.3,30.1,19.0,1713.1,16214.9,85.9,2400.0,917510
5500,27.7,30.1,32.2,34.8,14.5,1722.8,16214.9,87.0,2400.0,917510
5600,28.1,29.9,27.1,36.4,19.1,1723.4,16214.9,85.9,2400.0,917510
5700,26.8,37.1,28.0,31.1,10.6,1719.2,16214.9,85.9,2400.0,917510
5800,27.8,27.4,26.8,39.8,16.9,1720.8,16214.9,85.9,2400.0,917510
5900,28.0,34.1,31.4,29.7,17.4,1727.6,16214.9,86.5,2400.0,917510
6000,27.0,35.9,23.3,32.1,16.5,1727.1,16214.9,84.3,2400.0,917512
6100,27.1,46.4,17.8,27.1,17.4,1721.2,16214.9,84.8,2400.0,917510
6200,27.2,49.2,22.7,25.4,12.1,1724.7,16214.9,85.9,2400.0,917510
6300,27.3,37.6,25.8,29.7,15.9,1722.1,16214.9,85.4,2400.0,917510
6400,27.1,22.7,28.6,43.5,13.5,1721.6,16214.9,85.4,2400.0,917510
6500,27.8,31.6,27.4,35.2,17.0,1725.0,16214.9,85.9,2400.0,917510
6600,27.5,30.9,31.6,28.9,19.1,1720.7,16214.9,85.9,1800.0,917510
6700,27.6,28.4,32.1,30.2,19.6,1721.3,16214.9,85.9,2400.0,917510
6800,26.4,28.6,29.8,30.7,16.7,1720.7,16214.9,85.9,2400.0,917510
6900,27.9,18.9,48.8,26.8,17.6,1720.9,16214.9,85.4,2400.0,917510
7000,27.2,38.3,22.7,32.7,15.0,1722.7,16214.9,85.4,2400.0,917510
7100,27.0,32.0,30.0,29.9,16.3,1727.0,16214.9,85.4,2400.0,917510
7200,27.2,32.9,34.1,27.5,14.0,1721.0,16214.9,85.4,2400.0,917510
7300,27.6,32.7,36.0,25.6,16.1,1722.5,16214.9,85.9,2400.0,917510
7400,27.4,30.8,35.7,27.3,15.8,1720.8,16214.9,85.4,1900.0,917510
7500,27.3,32.9,28.3,30.9,17.3,1727.7,16214.9,84.8,2400.0,917510
7600,27.6,37.8,20.8,38.4,13.5,1722.8,16214.9,84.8,2400.0,917510
7700,27.4,29.0,29.6,34.7,16.3,1720.3,16214.9,85.9,2400.0,917510
7800,27.7,39.5,27.7,27.4,16.8,1725.5,16214.9,84.8,2400.0,917510
7900,27.9,36.5,35.4,23.3,16.2,1722.9,16214.9,85.9,2400.0,917510
8000,27.5,25.1,35.1,31.1,18.7,1720.6,16214.9,85.4,2400.0,917510
8100,27.3,39.9,24.3,30.4,14.7,1720.2,16214.9,85.4,2400.0,917510
8200,27.5,32.6,33.0,28.9,15.3,1728.3,16214.9,85.4,2400.0,917512
8300,27.1,38.6,30.3,25.6,14.1,1723.1,16214.9,85.9,2400.0,917510
8400,27.3,36.0,28.2,29.3,16.1,1720.8,16214.9,83.7,2400.0,917510
8500,26.8,30.1,30.9,29.2,16.9,1722.3,16214.9,85.9,2400.0,917510
8600,27.1,33.1,36.2,22.6,16.6,1718.8,16214.9,85.9,2400.0,917510
8700,27.2,33.2,31.1,32.2,12.0,1731.9,16214.9,86.5,2400.0,917510
8800,27.7,24.8,38.4,30.9,16.8,1722.6,16214.9,84.8,2400.0,917510
8900,27.4,28.1,31.1,34.3,16.3,1724.8,16214.9,85.9,2400.0,917510
9000,26.5,23.5,34.2,35.9,12.4,1723.1,16214.9,84.8,2400.0,917510
9100,27.6,34.1,33.4,27.4,15.6,1722.4,16214.9,85.9,2400.0,917510
9200,27.8,27.6,34.7,30.7,18.4,1722.5,16214.9,85.9,2400.0,917510
9300,27.4,28.7,26.7,38.2,16.1,1724.5,16214.9,85.9,2400.0,917510
9400,28.0,27.7,48.3,17.8,17.8,1723.6,16214.9,84.3,2400.0,917510
9500,27.7,42.5,24.9,25.6,18.6,1730.5,16214.9,86.5,2400.0,917510
