# platform=debian kernel=linux host=lg1 sample_rate=192000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,3972,0,0.1,0.162,0.043,0.119,0.017,0.001,0.082,0.001,0.016,0.0,0.0,0.0,0.0,0.0,0.0
2,4096,0,0.1,0.149,0.029,0.120,0.017,0.001,0.085,0.000,0.016,0.0,0.0,0.0,0.0,0.0,0.0
3,4096,0,0.1,0.334,0.033,0.301,0.017,0.000,0.112,0.133,0.036,0.0,0.0,0.0,0.0,0.0,0.0
4,4096,0,0.1,0.463,0.034,0.429,0.017,0.001,0.148,0.210,0.052,0.0,0.0,0.0,0.0,0.0,0.0
5,4096,0,0.1,0.592,0.037,0.555,0.018,0.000,0.215,0.248,0.072,0.0,0.0,0.0,0.0,0.0,0.0
6,4096,0,0.1,15.467,14.833,0.634,0.021,0.001,0.238,0.237,0.136,0.0,0.0,0.0,0.0,0.0,0.0
7,4096,0,0.1,0.659,0.082,0.577,0.017,0.001,0.225,0.204,0.130,0.0,0.0,0.0,0.0,0.0,0.0
8,4096,0,0.1,0.583,0.024,0.559,0.017,0.001,0.261,0.144,0.136,0.0,0.0,0.0,0.0,0.0,0.0
9,4096,0,0.1,0.652,0.033,0.619,0.017,0.001,0.300,0.146,0.154,0.0,0.0,0.0,0.0,0.0,0.0
10,4096,0,0.1,0.761,0.043,0.718,0.017,0.001,0.372,0.148,0.180,0.0,0.0,0.0,0.0,0.0,0.0
11,4096,0,0.1,0.908,0.027,0.881,0.017,0.001,0.475,0.195,0.191,0.0,0.0,0.0,0.0,0.0,0.0
12,4096,0,0.1,1.403,0.042,1.361,0.025,0.000,0.834,0.207,0.293,0.0,0.0,0.0,0.0,0.0,0.0
13,4096,0,0.1,1.452,0.035,1.417,0.025,0.001,0.866,0.209,0.316,0.0,0.0,0.0,0.0,0.0,0.0
14,4096,0,0.1,0.761,0.036,0.725,0.025,0.000,0.140,0.214,0.345,0.0,0.0,0.0,0.0,0.0,0.0
15,4096,0,0.1,1.607,0.035,1.572,0.024,0.000,0.947,0.224,0.374,0.0,0.0,0.0,0.0,0.0,0.0
16,4096,0,0.1,1.728,0.033,1.695,0.025,0.000,1.031,0.217,0.419,0.0,0.0,0.0,0.0,0.0,0.0
17,4096,0,0.1,1.787,0.041,1.746,0.025,0.001,1.047,0.239,0.433,0.0,0.0,0.0,0.0,0.0,0.0
18,4096,0,0.1,1.791,0.036,1.755,0.025,0.000,1.047,0.224,0.458,0.0,0.0,0.0,0.0,0.0,0.0
19,4096,0,0.1,2.003,0.085,1.918,0.025,0.001,1.115,0.273,0.504,0.0,0.0,0.0,0.0,0.0,0.0
20,4096,0,0.1,1.906,0.037,1.869,0.024,0.001,1.063,0.232,0.545,0.0,0.0,0.0,0.0,0.0,0.0
21,4096,0,0.1,1.701,0.043,1.658,0.025,0.001,0.835,0.229,0.567,0.0,0.0,0.0,0.0,0.0,0.0
22,4096,0,0.1,1.285,0.050,1.235,0.025,0.001,0.369,0.234,0.605,0.0,0.0,0.0,0.0,0.0,0.0
23,4096,0,0.1,1.961,0.039,1.922,0.025,0.001,1.045,0.226,0.623,0.0,0.0,0.0,0.0,0.0,0.0
24,4096,0,0.1,2.164,0.133,2.031,0.026,0.001,1.059,0.234,0.710,0.0,0.0,0.0,0.0,0.0,0.0
25,4096,0,0.1,9.955,7.900,2.055,0.025,0.000,1.096,0.244,0.687,0.0,0.0,0.0,0.0,0.0,0.0
26,4096,0,0.1,17.785,15.751,2.034,0.027,0.003,1.008,0.262,0.731,0.0,0.0,0.0,0.0,0.0,0.0
27,4096,0,0.1,19.084,17.601,1.483,0.019,0.002,0.693,0.171,0.594,0.0,0.0,0.0,0.0,0.0,0.0
28,4096,0,0.1,19.683,18.128,1.555,0.019,0.001,0.673,0.176,0.681,0.0,0.0,0.0,0.0,0.0,0.0
29,4096,0,0.1,19.046,17.666,1.380,0.020,0.001,0.392,0.220,0.744,0.0,0.0,0.0,0.0,0.0,0.0
30,4096,0,0.1,19.794,18.359,1.435,0.020,0.001,0.426,0.203,0.781,0.0,0.0,0.0,0.0,0.0,0.0
31,4096,0,0.1,22.045,19.969,2.076,0.027,0.001,0.934,0.233,0.876,0.0,0.0,0.0,0.0,0.0,0.0
32,8192,0,0.1,30.090,26.872,3.218,0.052,0.001,1.810,0.446,0.906,0.0,0.0,0.0,0.0,0.0,0.0
33,4096,0,0.1,16.213,14.077,2.136,0.025,0.000,0.866,0.243,0.999,0.0,0.0,0.0,0.0,0.0,0.0
34,8192,0,0.1,27.782,24.382,3.400,0.052,0.001,1.863,0.496,0.985,0.0,0.0,0.0,0.0,0.0,0.0
35,4096,0,0.1,12.502,10.696,1.806,0.028,0.001,0.473,0.244,1.057,0.0,0.0,0.0,0.0,0.0,0.0
36,4096,0,0.1,23.133,21.173,1.960,0.027,0.002,0.606,0.244,1.078,0.0,0.0,0.0,0.0,0.0,0.0
37,8192,0,0.1,29.924,26.331,3.593,0.054,0.001,1.930,0.468,1.137,0.0,0.0,0.0,0.0,0.0,0.0
38,4096,0,0.1,20.853,18.485,2.368,0.026,0.001,0.872,0.239,1.225,0.0,0.0,0.0,0.0,0.0,0.0
