frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,480,5.469,5.380,0.089,0.006,0.003,0.035,0.000,0.035,0.0,0.0,0.0,0.0,0.0,0.0
2,480,2.013,1.965,0.048,0.003,0.000,0.021,0.001,0.021,0.0,0.0,0.0,0.0,0.0,0.0
3,480,0.391,0.082,0.309,0.003,0.000,0.022,0.000,0.281,0.0,0.0,0.0,0.0,0.0,0.0
4,480,0.197,0.133,0.064,0.005,0.000,0.030,0.000,0.027,0.0,0.0,0.0,0.0,0.0,0.0
5,480,0.127,0.080,0.047,0.004,0.000,0.025,0.001,0.016,0.0,0.0,0.0,0.0,0.0,0.0
6,480,0.267,0.135,0.132,0.006,0.000,0.042,0.055,0.028,0.0,0.0,0.0,0.0,0.0,0.0
7,480,0.219,0.090,0.129,0.005,0.001,0.041,0.051,0.029,0.0,0.0,0.0,0.0,0.0,0.0
8,480,0.335,0.159,0.176,0.005,0.001,0.050,0.078,0.038,0.0,0.0,0.0,0.0,0.0,0.0
9,480,0.300,0.201,0.099,0.004,0.000,0.042,0.018,0.034,0.0,0.0,0.0,0.0,0.0,0.0
10,480,0.369,0.163,0.206,0.004,0.000,0.085,0.078,0.037,0.0,0.0,0.0,0.0,0.0,0.0
11,480,1.641,1.397,0.244,0.006,0.001,0.103,0.064,0.068,0.0,0.0,0.0,0.0,0.0,0.0
12,480,0.266,0.116,0.150,0.005,0.000,0.072,0.026,0.044,0.0,0.0,0.0,0.0,0.0,0.0
13,480,0.369,0.211,0.158,0.003,0.000,0.060,0.034,0.058,0.0,0.0,0.0,0.0,0.0,0.0
14,480,0.383,0.199,0.184,0.002,0.001,0.052,0.098,0.030,0.0,0.0,0.0,0.0,0.0,0.0
15,480,0.278,0.111,0.167,0.003,0.000,0.070,0.029,0.064,0.0,0.0,0.0,0.0,0.0,0.0
16,480,0.229,0.097,0.132,0.003,0.000,0.063,0.019,0.046,0.0,0.0,0.0,0.0,0.0,0.0
17,480,0.212,0.075,0.137,0.003,0.001,0.068,0.018,0.047,0.0,0.0,0.0,0.0,0.0,0.0
18,480,0.220,0.094,0.126,0.003,0.000,0.072,0.014,0.037,0.0,0.0,0.0,0.0,0.0,0.0
19,480,0.240,0.092,0.148,0.006,0.000,0.074,0.021,0.047,0.0,0.0,0.0,0.0,0.0,0.0
20,480,0.227,0.083,0.144,0.003,0.001,0.080,0.017,0.041,0.0,0.0,0.0,0.0,0.0,0.0
21,480,0.235,0.075,0.160,0.002,0.000,0.089,0.015,0.051,0.0,0.0,0.0,0.0,0.0,0.0
22,480,0.254,0.087,0.167,0.004,0.001,0.102,0.017,0.043,0.0,0.0,0.0,0.0,0.0,0.0
23,480,0.445,0.106,0.339,0.003,0.001,0.120,0.172,0.043,0.0,0.0,0.0,0.0,0.0,0.0
24,480,0.326,0.097,0.229,0.004,0.000,0.137,0.025,0.063,0.0,0.0,0.0,0.0,0.0,0.0
25,480,0.323,0.094,0.229,0.003,0.001,0.138,0.020,0.066,0.0,0.0,0.0,0.0,0.0,0.0
26,480,0.594,0.370,0.224,0.003,0.001,0.132,0.021,0.067,0.0,0.0,0.0,0.0,0.0,0.0
27,480,0.253,0.052,0.201,0.003,0.000,0.135,0.018,0.044,0.0,0.0,0.0,0.0,0.0,0.0
