frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,2.6,1.8,5.2,2.1,1.5,3341.9,16218.9,84.3,2400.0,917512
200,28.7,0.5,99.5,10.6,2.9,3347.8,16218.9,83.2,2400.0,917512
300,28.2,2.2,99.6,7.7,3.9,3353.1,16218.9,83.2,2400.0,917512
400,26.5,0.8,98.8,2.8,3.2,3360.2,16218.9,83.2,2400.0,917512
500,27.5,3.0,99.3,4.2,3.4,3365.9,16218.9,84.3,2400.0,917512
600,26.8,1.4,99.3,2.4,3.5,3366.3,16218.9,83.7,2400.0,917512
700,27.2,2.1,100.0,2.5,4.1,3366.5,16218.9,85.9,2400.0,917510
800,26.7,2.1,99.3,2.1,3.6,3372.0,16218.9,85.4,2400.0,917510
900,26.4,0.4,99.6,1.6,2.4,3371.2,16218.9,85.4,2400.0,917510
1000,26.8,1.7,99.0,2.4,3.1,3368.9,16218.9,85.4,2400.0,917510
1100,26.1,2.9,96.0,2.9,2.9,3377.2,16218.9,84.8,2400.0,917510
1200,28.4,4.5,99.3,3.8,5.4,3378.5,16218.9,84.8,2400.0,917510
1300,26.8,2.0,99.3,1.6,3.0,3375.2,16218.9,84.8,2400.0,917510
