# platform=windows kernel=winnt host=GS-HQ10-NA10G3K sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,480,0.142,0.068,0.074,0.002,0.006,0.016,0.000,0.032,0.0,0.0,0.0,0.0,0.0,0.0
2,480,0.067,0.039,0.028,0.002,0.000,0.011,0.001,0.014,0.0,0.0,0.0,0.0,0.0,0.0
3,480,0.138,0.111,0.027,0.001,0.001,0.011,0.000,0.013,0.0,0.0,0.0,0.0,0.0,0.0
4,480,0.075,0.049,0.026,0.002,0.000,0.012,0.000,0.012,0.0,0.0,0.0,0.0,0.0,0.0
5,480,0.319,0.134,0.185,0.002,0.000,0.014,0.000,0.167,0.0,0.0,0.0,0.0,0.0,0.0
6,480,0.123,0.043,0.080,0.003,0.000,0.018,0.043,0.016,0.0,0.0,0.0,0.0,0.0,0.0
7,480,0.109,0.054,0.055,0.002,0.001,0.016,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0
8,480,0.267,0.204,0.063,0.002,0.000,0.018,0.025,0.017,0.0,0.0,0.0,0.0,0.0,0.0
9,480,0.151,0.099,0.052,0.001,0.001,0.019,0.012,0.018,0.0,0.0,0.0,0.0,0.0,0.0
10,480,0.100,0.030,0.070,0.001,0.001,0.022,0.029,0.016,0.0,0.0,0.0,0.0,0.0,0.0
11,480,0.246,0.131,0.115,0.004,0.001,0.053,0.019,0.038,0.0,0.0,0.0,0.0,0.0,0.0
12,480,0.134,0.067,0.067,0.002,0.000,0.028,0.011,0.025,0.0,0.0,0.0,0.0,0.0,0.0
13,480,0.305,0.218,0.087,0.001,0.001,0.033,0.014,0.037,0.0,0.0,0.0,0.0,0.0,0.0
14,480,0.248,0.072,0.176,0.005,0.001,0.076,0.055,0.038,0.0,0.0,0.0,0.0,0.0,0.0
15,480,0.180,0.069,0.111,0.006,0.000,0.063,0.011,0.031,0.0,0.0,0.0,0.0,0.0,0.0
16,480,0.171,0.059,0.112,0.005,0.000,0.058,0.017,0.031,0.0,0.0,0.0,0.0,0.0,0.0
17,480,0.265,0.106,0.159,0.004,0.000,0.093,0.018,0.043,0.0,0.0,0.0,0.0,0.0,0.0
18,480,0.246,0.075,0.171,0.004,0.000,0.100,0.018,0.048,0.0,0.0,0.0,0.0,0.0,0.0
19,480,0.253,0.058,0.195,0.004,0.000,0.123,0.019,0.048,0.0,0.0,0.0,0.0,0.0,0.0
20,480,0.155,0.050,0.105,0.001,0.000,0.057,0.010,0.035,0.0,0.0,0.0,0.0,0.0,0.0
21,480,0.133,0.024,0.109,0.002,0.000,0.062,0.011,0.034,0.0,0.0,0.0,0.0,0.0,0.0
22,480,0.141,0.023,0.118,0.002,0.001,0.068,0.008,0.039,0.0,0.0,0.0,0.0,0.0,0.0
23,480,0.314,0.094,0.220,0.002,0.001,0.071,0.115,0.030,0.0,0.0,0.0,0.0,0.0,0.0
24,480,0.222,0.086,0.136,0.002,0.000,0.078,0.013,0.042,0.0,0.0,0.0,0.0,0.0,0.0
25,480,0.233,0.078,0.155,0.002,0.000,0.084,0.018,0.051,0.0,0.0,0.0,0.0,0.0,0.0
26,480,0.240,0.085,0.155,0.002,0.000,0.095,0.011,0.047,0.0,0.0,0.0,0.0,0.0,0.0
27,480,0.194,0.034,0.160,0.002,0.001,0.096,0.015,0.046,0.0,0.0,0.0,0.0,0.0,0.0
28,480,0.228,0.063,0.165,0.001,0.001,0.102,0.012,0.048,0.0,0.0,0.0,0.0,0.0,0.0
29,480,0.189,0.027,0.162,0.002,0.000,0.099,0.015,0.046,0.0,0.0,0.0,0.0,0.0,0.0
30,480,0.262,0.070,0.192,0.005,0.001,0.116,0.013,0.056,0.0,0.0,0.0,0.0,0.0,0.0
31,480,0.189,0.031,0.158,0.002,0.000,0.095,0.012,0.049,0.0,0.0,0.0,0.0,0.0,0.0
32,480,0.197,0.034,0.163,0.002,0.000,0.095,0.012,0.054,0.0,0.0,0.0,0.0,0.0,0.0
33,480,0.231,0.034,0.197,0.002,0.000,0.115,0.017,0.062,0.0,0.0,0.0,0.0,0.0,0.0
34,480,0.268,0.045,0.223,0.003,0.000,0.116,0.018,0.085,0.0,0.0,0.0,0.0,0.0,0.0
35,480,0.206,0.037,0.169,0.002,0.000,0.095,0.015,0.056,0.0,0.0,0.0,0.0,0.0,0.0
36,480,0.225,0.034,0.191,0.002,0.001,0.099,0.016,0.073,0.0,0.0,0.0,0.0,0.0,0.0
37,480,0.204,0.034,0.170,0.002,0.000,0.094,0.011,0.062,0.0,0.0,0.0,0.0,0.0,0.0
38,480,0.294,0.065,0.229,0.003,0.000,0.105,0.018,0.103,0.0,0.0,0.0,0.0,0.0,0.0
39,480,0.271,0.063,0.208,0.006,0.000,0.126,0.014,0.062,0.0,0.0,0.0,0.0,0.0,0.0
40,480,0.351,0.033,0.318,0.001,0.001,0.094,0.177,0.044,0.0,0.0,0.0,0.0,0.0,0.0
41,480,0.426,0.065,0.361,0.004,0.000,0.209,0.031,0.116,0.0,0.0,0.0,0.0,0.0,0.0
42,480,0.211,0.037,0.174,0.002,0.000,0.093,0.015,0.064,0.0,0.0,0.0,0.0,0.0,0.0
43,480,0.238,0.063,0.175,0.002,0.000,0.092,0.012,0.069,0.0,0.0,0.0,0.0,0.0,0.0
44,480,0.231,0.051,0.180,0.001,0.001,0.092,0.016,0.069,0.0,0.0,0.0,0.0,0.0,0.0
45,480,0.226,0.036,0.190,0.002,0.000,0.101,0.011,0.076,0.0,0.0,0.0,0.0,0.0,0.0
46,480,0.310,0.074,0.236,0.007,0.000,0.102,0.016,0.109,0.0,0.0,0.0,0.0,0.0,0.0
47,480,0.318,0.073,0.245,0.003,0.000,0.142,0.016,0.083,0.0,0.0,0.0,0.0,0.0,0.0
48,480,0.393,0.050,0.343,0.002,0.000,0.231,0.014,0.094,0.0,0.0,0.0,0.0,0.0,0.0
49,480,0.238,0.025,0.213,0.002,0.000,0.096,0.015,0.100,0.0,0.0,0.0,0.0,0.0,0.0
50,480,0.292,0.072,0.220,0.002,0.001,0.115,0.016,0.086,0.0,0.0,0.0,0.0,0.0,0.0
51,480,0.328,0.102,0.226,0.003,0.000,0.115,0.024,0.084,0.0,0.0,0.0,0.0,0.0,0.0
52,480,0.264,0.048,0.216,0.015,0.000,0.094,0.019,0.088,0.0,0.0,0.0,0.0,0.0,0.0
53,480,0.589,0.350,0.239,0.002,0.001,0.116,0.022,0.095,0.0,0.0,0.0,0.0,0.0,0.0
54,480,0.297,0.092,0.205,0.001,0.001,0.100,0.011,0.089,0.0,0.0,0.0,0.0,0.0,0.0
