# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0.186,0.054,0.132,0.007,0.000,0.063,0.000,0.059,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0.162,0.041,0.121,0.007,0.001,0.086,0.001,0.025,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0.500,0.027,0.473,0.007,0.001,0.156,0.241,0.067,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0.709,0.032,0.677,0.008,0.000,0.233,0.343,0.091,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0.788,0.036,0.752,0.007,0.000,0.259,0.344,0.138,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,0.879,0.025,0.854,0.008,0.000,0.331,0.342,0.172,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,1.242,0.049,1.193,0.007,0.001,0.503,0.445,0.232,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,1.198,0.031,1.167,0.007,0.001,0.569,0.338,0.251,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,1.503,0.032,1.471,0.007,0.001,0.832,0.337,0.292,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,1.885,0.029,1.856,0.007,0.000,1.175,0.344,0.328,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,2.110,0.035,2.075,0.008,0.000,1.304,0.386,0.374,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,1.815,0.029,1.786,0.007,0.000,1.024,0.335,0.417,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,2.258,0.034,2.224,0.007,0.000,1.428,0.337,0.450,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,2.471,0.034,2.437,0.007,0.000,1.539,0.364,0.525,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,3.310,0.033,3.277,0.007,0.001,2.399,0.336,0.531,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,3.725,0.030,3.695,0.007,0.001,2.784,0.336,0.566,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,3.797,0.031,3.766,0.007,0.001,2.814,0.336,0.605,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,4.134,0.031,4.103,0.007,0.000,3.095,0.338,0.661,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,4.003,0.033,3.970,0.007,0.001,2.813,0.460,0.687,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,2.133,0.031,2.102,0.007,0.001,1.008,0.335,0.749,0.0,0.0,0.0,0.0,0.0,0.0
21,1024,2.342,0.035,2.307,0.008,0.000,1.185,0.336,0.776,0.0,0.0,0.0,0.0,0.0,0.0
22,1024,3.862,0.031,3.831,0.007,0.000,2.663,0.336,0.820,0.0,0.0,0.0,0.0,0.0,0.0
23,1024,4.224,0.047,4.177,0.007,0.000,2.943,0.349,0.874,0.0,0.0,0.0,0.0,0.0,0.0
24,1024,7.425,3.033,4.392,0.009,0.001,3.086,0.358,0.929,0.0,0.0,0.0,0.0,0.0,0.0
25,1024,10.633,6.249,4.384,0.011,0.001,3.014,0.349,0.998,0.0,0.0,0.0,0.0,0.0,0.0
26,1024,14.944,10.440,4.504,0.011,0.001,3.118,0.354,1.010,0.0,0.0,0.0,0.0,0.0,0.0
27,1024,18.694,14.001,4.693,0.011,0.000,3.254,0.353,1.064,0.0,0.0,0.0,0.0,0.0,0.0
28,1024,19.194,16.216,2.978,0.012,0.001,1.507,0.353,1.096,0.0,0.0,0.0,0.0,0.0,0.0
29,1024,21.636,18.459,3.177,0.011,0.002,1.649,0.352,1.155,0.0,0.0,0.0,0.0,0.0,0.0
