# platform=debian kernel=linux host=lg1 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1024,0.229,0.022,0.207,0.007,0.000,0.198,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
2,1024,0.239,0.022,0.217,0.007,0.000,0.209,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0.476,0.023,0.453,0.007,0.000,0.443,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
4,1024,0.613,0.022,0.591,0.007,0.000,0.582,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0.718,0.023,0.695,0.007,0.000,0.686,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,0.869,0.021,0.848,0.007,0.000,0.840,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,1.158,0.022,1.136,0.007,0.000,1.127,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
8,1024,1.467,0.033,1.434,0.008,0.000,1.424,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
9,1024,1.613,0.022,1.591,0.007,0.000,1.583,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
10,1024,1.886,0.019,1.867,0.007,0.000,1.858,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
11,1024,0.656,0.020,0.636,0.008,0.000,0.627,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
12,1024,2.499,0.022,2.477,0.006,0.000,2.468,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
13,1024,2.867,0.019,2.848,0.007,0.000,2.840,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
14,1024,2.969,0.030,2.939,0.008,0.000,2.928,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
15,1024,3.153,0.032,3.121,0.008,0.000,3.110,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
16,1024,3.089,0.027,3.062,0.008,0.000,3.053,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
17,1024,2.761,0.037,2.724,0.007,0.000,2.714,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
18,1024,1.958,0.019,1.939,0.007,0.000,1.931,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
19,1024,1.993,0.029,1.964,0.007,0.000,1.955,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
20,1024,2.730,0.022,2.708,0.007,0.000,2.698,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
21,1024,2.843,0.021,2.822,0.007,0.000,2.813,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
22,1024,2.671,0.031,2.640,0.008,0.000,2.630,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
23,1024,2.654,0.036,2.618,0.007,0.000,2.608,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
24,1024,2.751,0.032,2.719,0.007,0.000,2.710,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
25,1024,2.339,0.034,2.305,0.008,0.000,2.296,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
26,1024,1.580,0.030,1.550,0.008,0.000,1.539,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
27,1024,1.627,0.031,1.596,0.007,0.000,1.587,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
28,1024,3.076,0.032,3.044,0.007,0.000,3.034,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
29,1024,2.994,0.032,2.962,0.007,0.000,2.953,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
30,1024,2.412,0.032,2.380,0.008,0.000,2.369,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
31,1024,2.904,0.034,2.870,0.006,0.000,2.860,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
32,1024,2.954,0.031,2.923,0.007,0.000,2.914,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
33,1024,2.802,0.026,2.776,0.007,0.000,2.767,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
34,1024,1.043,0.033,1.010,0.008,0.000,1.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
35,1024,2.126,0.022,2.104,0.007,0.000,2.095,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
36,1024,2.753,0.029,2.724,0.007,0.000,2.715,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
37,1024,2.689,0.027,2.662,0.007,0.000,2.653,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
38,1024,2.838,0.038,2.800,0.008,0.000,2.790,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
39,1024,2.757,0.036,2.721,0.007,0.000,2.712,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
40,1024,2.513,0.039,2.474,0.007,0.000,2.465,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
41,1024,2.810,0.030,2.780,0.007,0.000,2.770,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
42,1024,0.717,0.031,0.686,0.007,0.000,0.676,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
43,1024,2.360,0.021,2.339,0.007,0.000,2.330,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
44,1024,3.032,0.029,3.003,0.007,0.000,2.993,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
45,1024,2.972,0.032,2.940,0.007,0.000,2.930,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
46,1024,3.131,0.031,3.100,0.008,0.000,3.091,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
47,1024,3.403,0.042,3.361,0.007,0.000,3.352,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
48,1024,3.383,0.031,3.352,0.007,0.000,3.342,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
49,1024,2.902,0.032,2.870,0.008,0.000,2.860,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
50,1024,0.634,0.035,0.599,0.008,0.000,0.590,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
51,1024,3.122,0.030,3.092,0.007,0.000,3.082,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
52,1024,3.070,0.030,3.040,0.007,0.000,3.030,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
53,1024,2.667,0.044,2.623,0.008,0.000,2.610,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
54,1024,2.752,0.052,2.700,0.008,0.000,2.690,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
55,1024,2.601,0.028,2.573,0.006,0.000,2.562,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
56,1024,2.605,0.051,2.554,0.008,0.000,2.540,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
57,1024,1.906,0.025,1.881,0.008,0.000,1.870,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
58,1024,1.547,0.052,1.495,0.007,0.000,1.481,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
59,1024,2.243,0.043,2.200,0.008,0.000,2.189,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0
