# platform=debian kernel=linux host=lg1 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,replot_count
1,1024,0.237,0.029,0.208,0.007,0.000,0.199,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
2,1024,0.335,0.088,0.247,0.008,0.000,0.235,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
3,1024,0.478,0.028,0.450,0.007,0.000,0.442,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
4,1024,0.696,0.027,0.669,0.008,0.000,0.659,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
5,1024,0.906,0.026,0.880,0.007,0.000,0.871,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
6,1024,1.116,0.025,1.091,0.008,0.000,1.081,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
7,1024,1.399,0.023,1.376,0.007,0.000,1.367,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
8,1024,1.729,0.021,1.708,0.007,0.000,1.699,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
9,1024,2.321,0.026,2.295,0.008,0.000,2.285,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
10,1024,1.356,0.024,1.332,0.007,0.000,1.322,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
11,1024,2.184,0.023,2.161,0.007,0.000,2.151,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
12,1024,2.386,0.025,2.361,0.008,0.000,2.352,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
13,1024,2.829,0.046,2.783,0.007,0.000,2.774,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1024,5.655,0.039,5.616,0.008,0.000,5.606,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
15,1024,2.456,0.039,2.417,0.007,0.000,2.406,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1
