frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.3,3.1,6.8,2.5,96.2,2659.7,16214.9,86.5,2400.0,917510
200,27.2,2.0,4.8,1.9,99.3,2661.5,16214.9,86.5,2400.0,917510
300,26.9,50.8,3.8,2.8,50.2,2668.6,16214.9,86.5,2400.0,917510
400,26.5,0.8,3.8,2.4,98.9,2662.1,16214.9,85.4,2400.0,917510
500,27.1,1.1,4.2,3.6,99.1,2666.0,16214.9,86.5,2400.0,917510
600,28.2,26.4,5.4,5.3,75.3,2674.6,16214.9,86.5,2400.0,917510
700,26.9,69.4,33.0,3.1,2.7,2658.2,16214.9,86.5,2400.0,917510
800,26.6,1.4,98.1,3.9,2.1,2653.7,16214.9,86.5,2400.0,917510
900,27.6,2.4,90.4,12.3,4.6,2655.8,16214.9,85.4,2400.0,917510
1000,26.8,3.6,74.8,25.9,1.9,2654.3,16214.9,85.4,2400.0,917510
