# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1920,0,0.1,0.246,0.139,0.107,0.007,0.001,0.062,0.000,0.031,0.0,0.0,0.0,0.0,0.0,0.0
2,1920,0,0.1,4.024,3.905,0.119,0.010,0.002,0.050,0.001,0.054,0.0,0.0,0.0,0.0,0.0,0.0
3,1920,0,0.1,0.183,0.036,0.147,0.007,0.001,0.059,0.053,0.026,0.0,0.0,0.0,0.0,0.0,0.0
4,1920,0,0.1,0.279,0.031,0.248,0.007,0.000,0.088,0.122,0.028,0.0,0.0,0.0,0.0,0.0,0.0
5,1920,0,0.1,0.302,0.033,0.269,0.007,0.001,0.126,0.097,0.037,0.0,0.0,0.0,0.0,0.0,0.0
6,1920,0,0.1,0.353,0.039,0.314,0.007,0.001,0.171,0.086,0.048,0.0,0.0,0.0,0.0,0.0,0.0
7,1920,0,0.1,0.576,0.070,0.506,0.007,0.002,0.207,0.216,0.072,0.0,0.0,0.0,0.0,0.0,0.0
8,1920,0,0.1,0.424,0.038,0.386,0.007,0.001,0.224,0.085,0.068,0.0,0.0,0.0,0.0,0.0,0.0
9,1920,0,0.1,0.437,0.038,0.399,0.007,0.001,0.251,0.066,0.073,0.0,0.0,0.0,0.0,0.0,0.0
10,1920,0,0.1,0.501,0.030,0.471,0.007,0.001,0.311,0.067,0.084,0.0,0.0,0.0,0.0,0.0,0.0
11,1920,0,0.1,0.608,0.033,0.575,0.007,0.001,0.399,0.075,0.092,0.0,0.0,0.0,0.0,0.0,0.0
12,1920,0,0.1,0.866,0.030,0.836,0.007,0.001,0.484,0.246,0.097,0.0,0.0,0.0,0.0,0.0,0.0
13,1920,0,0.1,0.815,0.030,0.785,0.007,0.001,0.590,0.074,0.111,0.0,0.0,0.0,0.0,0.0,0.0
14,1920,0,0.1,0.375,0.029,0.346,0.007,0.001,0.132,0.084,0.121,0.0,0.0,0.0,0.0,0.0,0.0
15,1920,0,0.1,0.828,0.033,0.795,0.007,0.001,0.579,0.076,0.131,0.0,0.0,0.0,0.0,0.0,0.0
16,1920,0,0.1,0.899,0.036,0.863,0.007,0.001,0.612,0.094,0.148,0.0,0.0,0.0,0.0,0.0,0.0
17,1920,0,0.1,0.849,0.031,0.818,0.007,0.000,0.591,0.071,0.147,0.0,0.0,0.0,0.0,0.0,0.0
18,1920,0,0.1,0.826,0.032,0.794,0.008,0.001,0.563,0.067,0.155,0.0,0.0,0.0,0.0,0.0,0.0
19,1920,0,0.1,0.840,0.032,0.808,0.007,0.000,0.563,0.072,0.164,0.0,0.0,0.0,0.0,0.0,0.0
20,1920,0,0.1,0.822,0.031,0.791,0.007,0.000,0.231,0.386,0.166,0.0,0.0,0.0,0.0,0.0,0.0
21,1920,0,0.1,0.677,0.034,0.643,0.007,0.001,0.365,0.087,0.181,0.0,0.0,0.0,0.0,0.0,0.0
22,1920,0,0.1,0.905,0.037,0.868,0.008,0.000,0.574,0.082,0.203,0.0,0.0,0.0,0.0,0.0,0.0
23,1920,0,0.1,0.918,0.033,0.885,0.007,0.001,0.594,0.086,0.195,0.0,0.0,0.0,0.0,0.0,0.0
24,1920,0,0.1,0.948,0.032,0.916,0.007,0.001,0.613,0.083,0.211,0.0,0.0,0.0,0.0,0.0,0.0
25,1920,0,0.1,1.003,0.060,0.943,0.008,0.001,0.627,0.089,0.218,0.0,0.0,0.0,0.0,0.0,0.0
26,1920,0,0.1,0.876,0.079,0.797,0.007,0.001,0.430,0.106,0.252,0.0,0.0,0.0,0.0,0.0,0.0
27,1920,0,0.1,0.819,0.074,0.745,0.008,0.001,0.282,0.198,0.256,0.0,0.0,0.0,0.0,0.0,0.0
28,1920,0,0.1,1.011,0.051,0.960,0.008,0.000,0.590,0.116,0.246,0.0,0.0,0.0,0.0,0.0,0.0
29,1920,0,0.1,1.703,0.084,1.619,0.008,0.001,0.546,0.132,0.929,0.0,0.0,0.0,0.0,0.0,0.0
30,1920,0,0.1,0.990,0.070,0.920,0.008,0.001,0.497,0.125,0.288,0.0,0.0,0.0,0.0,0.0,0.0
31,1920,0,0.1,1.401,0.356,1.045,0.009,0.001,0.481,0.156,0.395,0.0,0.0,0.0,0.0,0.0,0.0
32,1920,0,0.1,1.268,0.244,1.024,0.009,0.001,0.416,0.126,0.467,0.0,0.0,0.0,0.0,0.0,0.0
33,1920,0,0.1,0.609,0.072,0.537,0.008,0.001,0.098,0.095,0.333,0.0,0.0,0.0,0.0,0.0,0.0
34,1920,0,0.1,1.022,0.068,0.954,0.007,0.001,0.502,0.124,0.317,0.0,0.0,0.0,0.0,0.0,0.0
35,1920,0,0.1,1.029,0.044,0.985,0.008,0.000,0.491,0.122,0.362,0.0,0.0,0.0,0.0,0.0,0.0
36,1920,0,0.1,1.792,0.795,0.997,0.009,0.001,0.500,0.136,0.348,0.0,0.0,0.0,0.0,0.0,0.0
37,1920,0,0.1,1.587,0.081,1.506,0.009,0.001,0.503,0.615,0.376,0.0,0.0,0.0,0.0,0.0,0.0
38,1920,0,0.1,2.054,0.928,1.126,0.010,0.002,0.513,0.105,0.495,0.0,0.0,0.0,0.0,0.0,0.0
39,1920,0,0.1,1.937,0.933,1.004,0.008,0.002,0.130,0.124,0.737,0.0,0.0,0.0,0.0,0.0,0.0
40,1920,0,0.1,1.330,0.198,1.132,0.009,0.002,0.448,0.099,0.573,0.0,0.0,0.0,0.0,0.0,0.0
41,1920,0,0.1,1.067,0.106,0.961,0.009,0.001,0.462,0.076,0.410,0.0,0.0,0.0,0.0,0.0,0.0
42,1920,0,0.1,1.045,0.062,0.983,0.008,0.001,0.458,0.102,0.414,0.0,0.0,0.0,0.0,0.0,0.0
43,1920,0,0.1,1.072,0.070,1.002,0.008,0.001,0.499,0.082,0.412,0.0,0.0,0.0,0.0,0.0,0.0
44,1920,0,0.1,1.146,0.067,1.079,0.007,0.002,0.524,0.091,0.454,0.0,0.0,0.0,0.0,0.0,0.0
45,1920,0,0.1,0.799,0.058,0.741,0.008,0.000,0.229,0.083,0.419,0.0,0.0,0.0,0.0,0.0,0.0
46,1920,0,0.1,1.015,0.071,0.944,0.008,0.001,0.395,0.106,0.433,0.0,0.0,0.0,0.0,0.0,0.0
47,1920,0,0.1,1.303,0.072,1.231,0.007,0.001,0.614,0.117,0.491,0.0,0.0,0.0,0.0,0.0,0.0
48,1920,0,0.1,1.273,0.051,1.222,0.008,0.001,0.604,0.156,0.452,0.0,0.0,0.0,0.0,0.0,0.0
49,1920,0,0.1,1.211,0.057,1.154,0.007,0.001,0.578,0.099,0.466,0.0,0.0,0.0,0.0,0.0,0.0
50,1920,0,0.1,1.269,0.093,1.176,0.010,0.001,0.576,0.087,0.500,0.0,0.0,0.0,0.0,0.0,0.0
51,1920,0,0.1,1.060,0.064,0.996,0.008,0.000,0.403,0.114,0.467,0.0,0.0,0.0,0.0,0.0,0.0
52,1920,0,0.1,0.931,0.066,0.865,0.007,0.002,0.259,0.107,0.488,0.0,0.0,0.0,0.0,0.0,0.0
53,1920,0,0.1,1.259,0.079,1.180,0.008,0.001,0.572,0.109,0.489,0.0,0.0,0.0,0.0,0.0,0.0
54,1920,0,0.1,1.228,0.073,1.155,0.008,0.001,0.559,0.085,0.501,0.0,0.0,0.0,0.0,0.0,0.0
55,1920,0,0.1,1.277,0.059,1.218,0.008,0.001,0.575,0.114,0.518,0.0,0.0,0.0,0.0,0.0,0.0
56,1920,0,0.1,1.445,0.131,1.314,0.009,0.001,0.638,0.099,0.564,0.0,0.0,0.0,0.0,0.0,0.0
57,1920,0,0.1,1.250,0.079,1.171,0.007,0.001,0.504,0.091,0.566,0.0,0.0,0.0,0.0,0.0,0.0
58,1920,0,0.1,0.852,0.079,0.773,0.008,0.001,0.145,0.075,0.543,0.0,0.0,0.0,0.0,0.0,0.0
59,1920,0,0.1,1.264,0.069,1.195,0.008,0.002,0.531,0.114,0.537,0.0,0.0,0.0,0.0,0.0,0.0
60,1920,0,0.1,1.447,0.098,1.349,0.008,0.001,0.503,0.098,0.736,0.0,0.0,0.0,0.0,0.0,0.0
61,1920,0,0.1,1.200,0.060,1.140,0.008,0.000,0.437,0.089,0.603,0.0,0.0,0.0,0.0,0.0,0.0
62,1920,0,0.1,1.134,0.065,1.069,0.008,0.001,0.391,0.084,0.584,0.0,0.0,0.0,0.0,0.0,0.0
63,1920,0,0.1,1.216,0.110,1.106,0.010,0.001,0.392,0.080,0.621,0.0,0.0,0.0,0.0,0.0,0.0
64,1920,0,0.1,0.826,0.061,0.765,0.007,0.001,0.082,0.083,0.589,0.0,0.0,0.0,0.0,0.0,0.0
65,1920,0,0.1,1.175,0.071,1.104,0.008,0.002,0.386,0.109,0.597,0.0,0.0,0.0,0.0,0.0,0.0
66,1920,0,0.1,1.260,0.074,1.186,0.008,0.001,0.422,0.091,0.662,0.0,0.0,0.0,0.0,0.0,0.0
67,1920,0,0.1,1.192,0.066,1.126,0.008,0.001,0.419,0.104,0.593,0.0,0.0,0.0,0.0,0.0,0.0
68,1920,0,0.1,1.263,0.062,1.201,0.007,0.001,0.425,0.093,0.673,0.0,0.0,0.0,0.0,0.0,0.0
69,1920,0,0.1,1.244,0.072,1.172,0.008,0.001,0.417,0.083,0.661,0.0,0.0,0.0,0.0,0.0,0.0
70,1920,0,0.1,1.076,0.083,0.993,0.007,0.001,0.177,0.088,0.718,0.0,0.0,0.0,0.0,0.0,0.0
71,1920,0,0.1,2.816,0.057,2.759,0.008,0.001,0.283,1.787,0.679,0.0,0.0,0.0,0.0,0.0,0.0
72,1920,0,0.1,2.242,0.824,1.418,0.010,0.001,0.389,0.108,0.908,0.0,0.0,0.0,0.0,0.0,0.0
73,1920,0,0.1,1.992,0.552,1.440,0.009,0.002,0.430,0.122,0.874,0.0,0.0,0.0,0.0,0.0,0.0
74,1920,0,0.1,1.917,0.458,1.459,0.009,0.002,0.472,0.117,0.857,0.0,0.0,0.0,0.0,0.0,0.0
75,1920,0,0.1,1.329,0.058,1.271,0.007,0.001,0.485,0.083,0.692,0.0,0.0,0.0,0.0,0.0,0.0
76,1920,0,0.1,1.626,0.200,1.426,0.008,0.002,0.348,0.117,0.948,0.0,0.0,0.0,0.0,0.0,0.0
77,1920,0,0.1,2.143,0.722,1.421,0.009,0.002,0.246,0.131,1.030,0.0,0.0,0.0,0.0,0.0,0.0
78,1920,0,0.1,1.560,0.113,1.447,0.008,0.001,0.588,0.077,0.769,0.0,0.0,0.0,0.0,0.0,0.0
79,1920,0,0.1,1.624,0.119,1.505,0.009,0.001,0.592,0.092,0.808,0.0,0.0,0.0,0.0,0.0,0.0
80,1920,0,0.1,1.822,0.360,1.462,0.009,0.002,0.580,0.108,0.761,0.0,0.0,0.0,0.0,0.0,0.0
81,1920,0,0.1,1.738,0.222,1.516,0.008,0.001,0.583,0.146,0.775,0.0,0.0,0.0,0.0,0.0,0.0
82,1920,0,0.1,2.615,1.119,1.496,0.010,0.001,0.522,0.114,0.847,0.0,0.0,0.0,0.0,0.0,0.0
83,1920,0,0.1,1.519,0.077,1.442,0.008,0.001,0.150,0.151,1.129,0.0,0.0,0.0,0.0,0.0,0.0
