# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1920,0,0.1,0.156,0.080,0.076,0.008,0.000,0.048,0.000,0.016,0.0,0.0,0.0,0.0,0.0,0.0
2,1920,0,0.1,2.515,2.395,0.120,0.010,0.001,0.053,0.001,0.052,0.0,0.0,0.0,0.0,0.0,0.0
3,1920,0,0.1,0.184,0.035,0.149,0.008,0.000,0.060,0.055,0.026,0.0,0.0,0.0,0.0,0.0,0.0
4,1920,0,0.1,0.390,0.062,0.328,0.008,0.000,0.093,0.187,0.039,0.0,0.0,0.0,0.0,0.0,0.0
5,1920,0,0.1,0.316,0.041,0.275,0.008,0.000,0.128,0.103,0.036,0.0,0.0,0.0,0.0,0.0,0.0
6,1920,0,0.1,0.359,0.042,0.317,0.008,0.000,0.176,0.086,0.047,0.0,0.0,0.0,0.0,0.0,0.0
7,1920,0,0.1,0.462,0.041,0.421,0.008,0.000,0.213,0.143,0.057,0.0,0.0,0.0,0.0,0.0,0.0
8,1920,0,0.1,0.427,0.039,0.388,0.008,0.001,0.231,0.079,0.068,0.0,0.0,0.0,0.0,0.0,0.0
9,1920,0,0.1,0.463,0.047,0.416,0.007,0.001,0.259,0.071,0.077,0.0,0.0,0.0,0.0,0.0,0.0
10,1920,0,0.1,0.534,0.042,0.492,0.008,0.000,0.322,0.076,0.085,0.0,0.0,0.0,0.0,0.0,0.0
11,1920,0,0.1,0.665,0.067,0.598,0.008,0.000,0.418,0.069,0.102,0.0,0.0,0.0,0.0,0.0,0.0
12,1920,0,0.1,0.917,0.037,0.880,0.008,0.000,0.517,0.255,0.099,0.0,0.0,0.0,0.0,0.0,0.0
13,1920,0,0.1,0.865,0.039,0.826,0.008,0.000,0.614,0.072,0.131,0.0,0.0,0.0,0.0,0.0,0.0
14,1920,0,0.1,0.399,0.042,0.357,0.008,0.000,0.139,0.090,0.120,0.0,0.0,0.0,0.0,0.0,0.0
15,1920,0,0.1,0.865,0.038,0.827,0.008,0.000,0.609,0.075,0.135,0.0,0.0,0.0,0.0,0.0,0.0
16,1920,0,0.1,0.922,0.039,0.883,0.008,0.000,0.648,0.080,0.147,0.0,0.0,0.0,0.0,0.0,0.0
17,1920,0,0.1,0.887,0.037,0.850,0.007,0.001,0.612,0.076,0.152,0.0,0.0,0.0,0.0,0.0,0.0
18,1920,0,0.1,0.874,0.045,0.829,0.008,0.000,0.582,0.074,0.164,0.0,0.0,0.0,0.0,0.0,0.0
19,1920,0,0.1,0.870,0.036,0.834,0.007,0.000,0.585,0.072,0.169,0.0,0.0,0.0,0.0,0.0,0.0
20,1920,0,0.1,0.867,0.034,0.833,0.008,0.000,0.238,0.419,0.167,0.0,0.0,0.0,0.0,0.0,0.0
21,1920,0,0.1,0.700,0.045,0.655,0.008,0.001,0.375,0.086,0.185,0.0,0.0,0.0,0.0,0.0,0.0
22,1920,0,0.1,0.946,0.038,0.908,0.007,0.001,0.597,0.083,0.219,0.0,0.0,0.0,0.0,0.0,0.0
23,1920,0,0.1,0.952,0.035,0.917,0.008,0.000,0.614,0.088,0.205,0.0,0.0,0.0,0.0,0.0,0.0
24,1920,0,0.1,1.017,0.057,0.960,0.009,0.000,0.637,0.091,0.221,0.0,0.0,0.0,0.0,0.0,0.0
25,1920,0,0.1,1.111,0.075,1.036,0.008,0.001,0.651,0.133,0.242,0.0,0.0,0.0,0.0,0.0,0.0
26,1920,0,0.1,0.894,0.073,0.821,0.008,0.001,0.453,0.093,0.264,0.0,0.0,0.0,0.0,0.0,0.0
27,1920,0,0.1,0.768,0.066,0.702,0.008,0.000,0.296,0.126,0.271,0.0,0.0,0.0,0.0,0.0,0.0
28,1920,0,0.1,1.044,0.065,0.979,0.008,0.001,0.603,0.095,0.272,0.0,0.0,0.0,0.0,0.0,0.0
29,1920,0,0.1,1.053,0.062,0.991,0.008,0.001,0.560,0.114,0.306,0.0,0.0,0.0,0.0,0.0,0.0
30,1920,0,0.1,1.023,0.065,0.958,0.008,0.001,0.513,0.108,0.326,0.0,0.0,0.0,0.0,0.0,0.0
31,1920,0,0.1,0.948,0.069,0.879,0.007,0.002,0.460,0.115,0.293,0.0,0.0,0.0,0.0,0.0,0.0
32,1920,0,0.1,0.926,0.066,0.860,0.008,0.001,0.415,0.104,0.331,0.0,0.0,0.0,0.0,0.0,0.0
33,1920,0,0.1,0.788,0.094,0.694,0.008,0.001,0.104,0.121,0.458,0.0,0.0,0.0,0.0,0.0,0.0
34,1920,0,0.1,1.168,0.127,1.041,0.009,0.002,0.531,0.131,0.365,0.0,0.0,0.0,0.0,0.0,0.0
35,1920,0,0.1,1.586,0.476,1.110,0.010,0.001,0.558,0.107,0.431,0.0,0.0,0.0,0.0,0.0,0.0
36,1920,0,0.1,1.115,0.087,1.028,0.008,0.001,0.525,0.129,0.363,0.0,0.0,0.0,0.0,0.0,0.0
37,1920,0,0.1,1.739,0.110,1.629,0.008,0.001,0.529,0.624,0.464,0.0,0.0,0.0,0.0,0.0,0.0
38,1920,0,0.1,2.866,1.729,1.137,0.010,0.002,0.541,0.120,0.461,0.0,0.0,0.0,0.0,0.0,0.0
39,1920,0,0.1,2.840,1.850,0.990,0.011,0.000,0.141,0.129,0.705,0.0,0.0,0.0,0.0,0.0,0.0
40,1920,0,0.1,2.883,1.709,1.174,0.011,0.001,0.490,0.100,0.570,0.0,0.0,0.0,0.0,0.0,0.0
41,1920,0,0.1,3.327,2.178,1.149,0.010,0.001,0.499,0.102,0.534,0.0,0.0,0.0,0.0,0.0,0.0
42,1920,0,0.1,3.250,2.084,1.166,0.009,0.002,0.510,0.099,0.543,0.0,0.0,0.0,0.0,0.0,0.0
43,1920,0,0.1,2.929,1.796,1.133,0.010,0.001,0.574,0.087,0.459,0.0,0.0,0.0,0.0,0.0,0.0
44,1920,0,0.1,3.489,2.275,1.214,0.011,0.001,0.640,0.088,0.471,0.0,0.0,0.0,0.0,0.0,0.0
45,1920,0,0.1,4.450,3.292,1.158,0.011,0.001,0.273,0.154,0.716,0.0,0.0,0.0,0.0,0.0,0.0
46,1920,0,0.1,2.794,1.606,1.188,0.011,0.001,0.436,0.131,0.607,0.0,0.0,0.0,0.0,0.0,0.0
47,1920,0,0.1,1.401,0.104,1.297,0.010,0.001,0.711,0.083,0.489,0.0,0.0,0.0,0.0,0.0,0.0
48,1920,0,0.1,1.333,0.080,1.253,0.008,0.001,0.667,0.102,0.473,0.0,0.0,0.0,0.0,0.0,0.0
49,1920,0,0.1,1.299,0.070,1.229,0.009,0.000,0.639,0.104,0.477,0.0,0.0,0.0,0.0,0.0,0.0
50,1920,0,0.1,1.752,0.495,1.257,0.012,0.001,0.652,0.094,0.495,0.0,0.0,0.0,0.0,0.0,0.0
51,1920,0,0.1,1.998,0.752,1.246,0.010,0.001,0.448,0.103,0.680,0.0,0.0,0.0,0.0,0.0,0.0
52,1920,0,0.1,0.964,0.062,0.902,0.009,0.000,0.286,0.085,0.519,0.0,0.0,0.0,0.0,0.0,0.0
53,1920,0,0.1,1.311,0.046,1.265,0.008,0.000,0.619,0.101,0.535,0.0,0.0,0.0,0.0,0.0,0.0
54,1920,0,0.1,1.351,0.062,1.289,0.009,0.000,0.666,0.088,0.524,0.0,0.0,0.0,0.0,0.0,0.0
55,1920,0,0.1,1.397,0.070,1.327,0.009,0.001,0.666,0.119,0.531,0.0,0.0,0.0,0.0,0.0,0.0
56,1920,0,0.1,1.397,0.064,1.333,0.008,0.001,0.697,0.087,0.538,0.0,0.0,0.0,0.0,0.0,0.0
57,1920,0,0.1,2.808,1.473,1.335,0.010,0.001,0.597,0.093,0.630,0.0,0.0,0.0,0.0,0.0,0.0
58,1920,0,0.1,0.930,0.069,0.861,0.008,0.001,0.142,0.101,0.607,0.0,0.0,0.0,0.0,0.0,0.0
59,1920,0,0.1,3.430,1.652,1.778,0.014,0.001,0.853,0.105,0.800,0.0,0.0,0.0,0.0,0.0,0.0
60,1920,0,0.1,11.046,9.315,1.731,0.014,0.001,0.797,0.112,0.804,0.0,0.0,0.0,0.0,0.0,0.0
61,1920,0,0.1,17.992,16.287,1.705,0.012,0.001,0.704,0.117,0.865,0.0,0.0,0.0,0.0,0.0,0.0
62,3840,0,0.1,25.170,22.772,2.398,0.058,0.001,1.246,0.243,0.845,0.0,0.0,0.0,0.0,0.0,0.0
63,1920,0,0.1,9.062,7.744,1.318,0.010,0.002,0.105,0.136,1.061,0.0,0.0,0.0,0.0,0.0,0.0
64,1920,0,0.1,7.395,6.035,1.360,0.009,0.001,0.410,0.108,0.828,0.0,0.0,0.0,0.0,0.0,0.0
65,1920,0,0.1,7.620,6.070,1.550,0.010,0.002,0.515,0.129,0.892,0.0,0.0,0.0,0.0,0.0,0.0
66,1920,0,0.1,6.942,5.553,1.389,0.009,0.002,0.474,0.111,0.791,0.0,0.0,0.0,0.0,0.0,0.0
67,1920,0,0.1,6.934,5.535,1.399,0.010,0.002,0.468,0.114,0.802,0.0,0.0,0.0,0.0,0.0,0.0
68,1920,0,0.1,8.450,7.035,1.415,0.011,0.002,0.484,0.107,0.807,0.0,0.0,0.0,0.0,0.0,0.0
69,1920,0,0.1,9.859,8.489,1.370,0.010,0.001,0.214,0.175,0.966,0.0,0.0,0.0,0.0,0.0,0.0
70,1920,0,0.1,11.991,8.663,3.328,0.009,0.002,0.325,2.203,0.786,0.0,0.0,0.0,0.0,0.0,0.0
71,1920,0,0.1,12.582,11.132,1.450,0.011,0.001,0.445,0.111,0.878,0.0,0.0,0.0,0.0,0.0,0.0
72,1920,0,0.1,13.912,12.372,1.540,0.010,0.001,0.466,0.117,0.943,0.0,0.0,0.0,0.0,0.0,0.0
73,1920,0,0.1,15.289,13.775,1.514,0.011,0.001,0.525,0.116,0.859,0.0,0.0,0.0,0.0,0.0,0.0
74,1920,0,0.1,15.272,13.795,1.477,0.009,0.001,0.553,0.104,0.805,0.0,0.0,0.0,0.0,0.0,0.0
75,1920,0,0.1,17.066,15.571,1.495,0.010,0.001,0.364,0.121,0.995,0.0,0.0,0.0,0.0,0.0,0.0
76,1920,0,0.1,17.816,16.342,1.474,0.010,0.001,0.273,0.170,1.018,0.0,0.0,0.0,0.0,0.0,0.0
77,1920,0,0.1,18.330,16.779,1.551,0.012,0.001,0.610,0.096,0.829,0.0,0.0,0.0,0.0,0.0,0.0
78,1920,0,0.1,19.454,17.913,1.541,0.009,0.001,0.623,0.089,0.817,0.0,0.0,0.0,0.0,0.0,0.0
79,1920,0,0.1,1.564,0.158,1.406,0.008,0.001,0.602,0.093,0.701,0.0,0.0,0.0,0.0,0.0,0.0
80,1920,0,0.1,2.072,0.486,1.586,0.009,0.001,0.651,0.104,0.818,0.0,0.0,0.0,0.0,0.0,0.0
81,1920,0,0.1,3.751,2.202,1.549,0.009,0.002,0.569,0.117,0.849,0.0,0.0,0.0,0.0,0.0,0.0
82,1920,0,0.1,3.333,1.812,1.521,0.009,0.001,0.145,0.158,1.204,0.0,0.0,0.0,0.0,0.0,0.0
83,1920,0,0.1,2.254,0.723,1.531,0.009,0.001,0.593,0.093,0.831,0.0,0.0,0.0,0.0,0.0,0.0
84,1920,0,0.1,3.771,1.988,1.783,0.011,0.001,0.604,0.093,1.070,0.0,0.0,0.0,0.0,0.0,0.0
85,1920,0,0.1,12.142,9.902,2.240,0.014,0.001,0.929,0.137,1.155,0.0,0.0,0.0,0.0,0.0,0.0
86,1920,0,0.1,22.018,19.682,2.336,0.013,0.002,0.991,0.116,1.211,0.0,0.0,0.0,0.0,0.0,0.0
87,1920,0,0.1,3.057,0.848,2.209,0.012,0.001,0.952,0.112,1.131,0.0,0.0,0.0,0.0,0.0,0.0
88,1920,0,0.1,10.852,9.035,1.817,0.013,0.002,0.173,0.183,1.441,0.0,0.0,0.0,0.0,0.0,0.0
89,1920,0,0.1,18.019,15.839,2.180,0.014,0.001,0.845,0.115,1.202,0.0,0.0,0.0,0.0,0.0,0.0
90,3840,0,0.1,26.535,23.153,3.382,0.022,0.001,1.924,0.221,1.208,0.0,0.0,0.0,0.0,0.0,0.0
91,1920,0,0.1,16.493,14.231,2.262,0.013,0.002,0.896,0.111,1.236,0.0,0.0,0.0,0.0,0.0,0.0
92,3840,0,0.1,24.402,21.622,2.780,0.024,0.004,1.239,0.240,1.269,0.0,0.0,0.0,0.0,0.0,0.0
93,1920,0,0.1,9.711,6.553,3.158,0.010,0.002,0.481,1.583,1.078,0.0,0.0,0.0,0.0,0.0,0.0
94,1920,0,0.1,16.118,14.289,1.829,0.010,0.099,0.635,0.089,0.992,0.0,0.0,0.0,0.0,0.0,0.0
95,1920,0,0.1,18.273,16.435,1.838,0.011,0.048,0.644,0.105,1.026,0.0,0.0,0.0,0.0,0.0,0.0
96,1920,0,0.1,20.213,18.372,1.841,0.010,0.044,0.697,0.102,0.986,0.0,0.0,0.0,0.0,0.0,0.0
97,1920,0,0.1,2.131,0.442,1.689,0.009,0.041,0.632,0.086,0.919,0.0,0.0,0.0,0.0,0.0,0.0
98,1920,0,0.1,4.245,2.512,1.733,0.011,0.045,0.403,0.102,1.165,0.0,0.0,0.0,0.0,0.0,0.0
99,1920,0,0.1,4.971,3.308,1.663,0.009,0.046,0.065,0.179,1.361,0.0,0.0,0.0,0.0,0.0,0.0
100,1920,0,0.1,5.735,3.878,1.857,0.009,0.086,0.423,0.321,1.015,0.0,0.0,0.0,0.0,0.0,0.0
101,1920,0,0.1,13.397,11.652,1.745,0.010,0.044,0.583,0.097,1.007,0.0,0.0,0.0,0.0,0.0,0.0
102,1920,0,0.1,14.810,13.060,1.750,0.009,0.044,0.584,0.089,1.021,0.0,0.0,0.0,50.9,100548.6,1976.0
103,1920,0,0.1,17.533,15.733,1.800,0.010,0.040,0.612,0.114,1.021,52.7,101253.7,1920.0,50.9,100548.6,1976.0
104,1920,0,0.1,19.781,18.096,1.685,0.009,0.043,0.533,0.095,1.003,52.7,101253.7,1920.0,50.9,100548.6,1976.0
105,1920,0,0.1,1.881,0.717,1.164,0.009,0.040,0.049,0.087,0.977,52.7,101253.7,1920.0,50.9,100548.6,1976.0
106,1920,0,0.1,2.338,0.477,1.861,0.009,0.065,0.288,0.384,1.113,52.7,101253.7,1920.0,50.9,100548.6,1976.0
107,1920,0,0.1,8.584,6.721,1.863,0.010,0.041,0.627,0.085,1.096,52.7,101253.7,1920.0,50.9,100548.6,1976.0
108,1920,0,0.1,9.853,7.984,1.869,0.009,0.045,0.676,0.088,1.047,52.7,101253.7,1920.0,50.9,100548.6,1976.0
109,1920,0,0.1,11.724,9.824,1.900,0.010,0.044,0.619,0.114,1.109,52.7,101253.7,1920.0,50.9,100548.6,1976.0
110,1920,0,0.1,13.405,11.544,1.861,0.009,0.043,0.590,0.096,1.119,52.7,101253.7,1920.0,50.9,100548.6,1976.0
111,1920,0,0.1,20.496,18.397,2.099,0.014,0.063,0.166,0.197,1.655,52.7,101253.7,1920.0,50.9,100548.6,1976.0
112,1920,0,0.1,2.211,0.121,2.090,0.012,0.069,0.189,0.337,1.481,52.7,101253.7,1920.0,50.9,100548.6,1976.0
113,1920,0,0.1,16.943,14.288,2.655,0.013,0.063,0.865,0.131,1.578,52.7,101253.7,1920.0,50.9,100548.6,1976.0
114,3840,0,0.1,28.291,24.632,3.659,0.024,0.120,1.724,0.219,1.568,52.7,101253.7,1920.0,50.9,100548.6,1976.0
115,1920,0,0.1,16.130,14.156,1.974,0.009,0.045,0.646,0.094,1.177,52.7,101253.7,1920.0,50.9,100548.6,1976.0
116,1920,0,0.1,19.353,17.476,1.877,0.010,0.048,0.288,0.161,1.366,52.7,101253.7,1920.0,50.9,100548.6,1976.0
117,1920,0,0.1,1.614,0.270,1.344,0.009,0.041,0.050,0.092,1.151,52.7,101253.7,1920.0,50.9,100548.6,1976.0
118,1920,0,0.1,3.724,1.600,2.124,0.011,0.072,0.585,0.263,1.188,52.7,101253.7,1920.0,50.9,100548.6,1976.0
119,1920,0,0.1,10.615,8.643,1.972,0.012,0.046,0.600,0.095,1.214,52.7,101253.7,1920.0,50.9,100548.6,1976.0
120,1920,0,0.1,13.388,11.084,2.304,0.010,0.044,0.640,0.092,1.515,52.7,101253.7,1920.0,50.9,100548.6,1976.0
121,3840,0,0.1,23.731,20.428,3.303,0.065,0.123,1.214,0.226,1.671,52.7,101253.7,1920.0,50.9,100548.6,1976.0
122,1920,0,0.1,14.618,12.437,2.181,0.013,0.063,0.086,0.160,1.856,52.7,101253.7,1920.0,50.9,100548.6,1976.0
123,3840,0,0.1,24.515,20.863,3.652,0.025,0.144,1.232,0.525,1.722,52.7,101253.7,1920.0,50.9,100548.6,1976.0
124,1920,0,0.1,19.861,17.151,2.710,0.014,0.062,0.791,0.125,1.715,52.7,101253.7,1920.0,50.9,100548.6,1976.0
125,1920,0,0.1,3.423,0.763,2.660,0.012,0.059,0.750,0.112,1.725,52.7,101253.7,1920.0,50.9,100548.6,1976.0
126,1920,0,0.1,12.379,9.472,2.907,0.013,0.066,0.736,0.112,1.977,52.7,101253.7,1920.0,50.9,100548.6,1976.0
127,1920,0,0.1,20.195,17.939,2.256,0.015,0.066,0.080,0.161,1.933,52.7,101253.7,1920.0,50.9,100548.6,1976.0
128,1920,0,0.1,2.764,0.276,2.488,0.012,0.068,0.371,0.298,1.736,52.7,101253.7,1920.0,50.9,100548.6,1976.0
129,1920,0,0.1,14.388,12.006,2.382,0.009,0.039,0.514,0.114,1.701,52.7,101253.7,1920.0,50.9,100548.6,1976.0
130,1920,0,0.1,14.991,12.958,2.033,0.010,0.043,0.501,0.124,1.352,52.7,101253.7,1920.0,50.9,100548.6,1976.0
131,1920,0,0.1,14.756,12.759,1.997,0.009,0.043,0.525,0.103,1.314,52.7,101253.7,1920.0,50.9,100548.6,1976.0
132,1920,0,0.1,14.510,12.504,2.006,0.009,0.045,0.554,0.097,1.296,52.7,101253.7,1920.0,50.9,100548.6,1976.0
133,1920,0,0.1,14.205,12.202,2.003,0.009,0.043,0.113,0.121,1.713,52.7,101253.7,1920.0,50.9,100548.6,1976.0
134,1920,0,0.1,14.250,11.480,2.770,0.014,0.093,0.205,0.573,1.882,52.7,101253.7,1920.0,50.9,100548.6,1976.0
135,3840,0,0.1,26.069,22.187,3.882,0.027,0.120,1.637,0.220,1.874,52.7,101253.7,1920.0,50.9,100548.6,1976.0
136,1920,0,0.1,15.184,12.231,2.953,0.013,0.064,0.832,0.113,1.927,52.7,101253.7,1920.0,50.9,100548.6,1976.0
137,3840,0,0.1,23.551,20.004,3.547,0.026,0.122,1.212,0.227,1.956,52.7,101253.7,1920.0,50.9,100548.6,1976.0
138,1920,0,0.1,7.660,5.554,2.106,0.012,0.043,0.063,0.156,1.829,52.7,101253.7,1920.0,50.9,100548.6,1976.0
139,1920,0,0.1,8.256,5.905,2.351,0.010,0.074,0.556,0.262,1.446,52.7,101253.7,1920.0,50.9,100548.6,1976.0
140,1920,0,0.1,13.653,11.453,2.200,0.010,0.046,0.589,0.108,1.443,52.7,101253.7,1920.0,50.9,100548.6,1976.0
141,1920,0,0.1,14.303,12.098,2.205,0.012,0.045,0.590,0.092,1.463,52.7,101253.7,1920.0,50.9,100548.6,1976.0
