# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.341,0.200,0.141,0.012,0.001,0.084,0.000,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,12.049,11.891,0.158,0.013,0.002,0.074,0.001,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.336,0.082,0.254,0.012,0.001,0.099,0.092,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.411,0.048,0.363,0.012,0.000,0.144,0.164,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.447,0.043,0.404,0.012,0.001,0.198,0.140,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.499,0.040,0.459,0.012,0.001,0.263,0.115,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.663,0.057,0.606,0.012,0.000,0.327,0.184,0.080,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.624,0.049,0.575,0.011,0.001,0.357,0.109,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.747,0.045,0.702,0.012,0.000,0.407,0.159,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.801,0.047,0.754,0.012,0.000,0.514,0.106,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.939,0.043,0.896,0.011,0.001,0.651,0.099,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.288,0.041,1.247,0.012,0.001,0.794,0.294,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.253,0.049,1.204,0.012,0.001,0.932,0.101,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.546,0.045,0.501,0.012,0.000,0.208,0.108,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
