frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,27.6,90.9,10.8,3.8,3.8,1625.7,16214.9,87.0,2400.0,917510
200,28.9,99.1,9.7,2.6,4.3,1637.3,16214.9,86.5,2400.0,917510
300,28.2,99.2,5.3,2.8,5.3,1641.6,16214.9,88.1,2400.0,917510
400,28.2,99.1,7.4,3.1,3.5,1662.3,16214.9,87.5,2400.0,917510
500,28.2,99.2,6.7,3.0,3.0,1671.9,16214.9,88.7,2400.0,917510
600,27.9,99.3,5.2,1.9,4.1,1663.4,16214.9,89.2,2400.0,917510
700,28.2,99.2,6.7,2.5,3.8,1661.7,16214.9,88.7,2400.0,917510
800,28.2,99.2,6.1,2.8,4.8,1658.5,16214.9,89.2,2400.0,917510
900,28.2,99.2,7.8,2.0,3.2,1653.1,16214.9,88.7,2400.0,917510
1000,28.1,99.2,5.6,3.0,5.6,1687.3,16214.9,89.2,2400.0,917510
