# platform=macos kernel=darwin host=gyeongjinui-MacBookAir-3.local device=unknown git_commit=40af12c sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,noise_floor,ref_peak,noise_ratio,sync_lost,beat_missed
1,960,0,0.0,2.676,2.646,0.030,0.005,0.000,0.018,0.000,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.000113,0.007790,0.014569,0,0
2,2880,0,0.1,27.258,27.189,0.069,0.011,0.000,0.046,0.000,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.005355,0.064254,0.083344,0,0
3,960,0,0.0,5.095,5.067,0.028,0.003,0.000,0.018,0.000,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.004714,0.063847,0.073831,0,0
4,960,0,0.0,1.951,1.881,0.070,0.003,0.000,0.020,0.036,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.004517,0.063441,0.071197,0,0
5,960,0,0.0,2.552,2.490,0.062,0.003,0.000,0.023,0.023,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.004499,0.063040,0.071370,0,0
6,960,0,0.0,0.315,0.253,0.062,0.003,0.000,0.024,0.019,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.004283,0.062643,0.068378,0,0
7,960,0,0.0,0.391,0.332,0.059,0.004,0.000,0.026,0.012,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.004283,0.062247,0.068812,0,0
8,960,0,0.0,0.085,0.017,0.068,0.003,0.000,0.029,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.004191,0.061852,0.067767,0,0
9,960,0,0.0,0.094,0.020,0.074,0.003,0.001,0.034,0.013,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.004059,0.061460,0.066040,0,0
10,960,0,0.0,1.496,1.420,0.076,0.003,0.000,0.039,0.012,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.003976,0.061072,0.065107,0,0
11,960,0,0.0,0.198,0.114,0.084,0.003,0.000,0.042,0.012,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.003976,0.060687,0.065520,0,0
12,960,0,0.0,1.754,1.655,0.099,0.003,0.001,0.043,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.003976,0.060320,0.065918,0,0
13,960,0,0.0,2.887,2.793,0.094,0.003,0.000,0.048,0.013,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.004188,0.072983,0.057378,0,0
14,960,0,0.0,3.128,3.030,0.098,0.004,0.000,0.049,0.013,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.004191,0.072525,0.057794,0,0
15,960,0,0.0,3.321,3.221,0.100,0.003,0.001,0.051,0.012,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.004226,0.072066,0.058643,0,0
16,960,0,0.0,3.944,3.835,0.109,0.004,0.000,0.057,0.012,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.004096,0.071606,0.057205,0,0
17,960,0,0.0,5.333,5.213,0.120,0.004,0.000,0.063,0.012,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.004003,0.071149,0.056256,0,0
18,960,0,0.0,8.132,8.008,0.124,0.004,0.000,0.068,0.013,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.003988,0.070697,0.056409,0,0
19,1920,0,0.1,12.140,11.971,0.169,0.008,0.000,0.093,0.023,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.003988,0.069801,0.057134,0,0
20,960,0,0.0,7.031,6.873,0.158,0.004,0.000,0.079,0.027,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.003961,0.069356,0.057115,0,0
21,1920,0,0.1,12.652,12.474,0.178,0.007,0.001,0.069,0.024,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.003837,0.068481,0.056035,0,0
22,960,0,0.0,9.721,9.631,0.090,0.004,0.000,0.022,0.012,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.003837,0.068045,0.056394,0,0
23,1920,0,0.1,16.327,16.186,0.141,0.007,0.000,0.050,0.024,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.003837,0.067532,0.056822,0,0
24,1920,0,0.1,12.730,12.512,0.218,0.007,0.000,0.129,0.023,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.003837,0.067823,0.056579,0,0
25,1920,0,0.1,13.516,13.289,0.227,0.007,0.000,0.139,0.021,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.003803,0.067823,0.056078,0,0
26,1920,0,0.1,15.645,15.511,0.134,0.007,0.001,0.036,0.024,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.003803,0.067823,0.056078,0,0
27,2880,0,0.1,21.938,21.716,0.222,0.011,0.000,0.105,0.034,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.003791,0.067823,0.055897,0,0
28,1920,0,0.1,18.506,18.294,0.212,0.008,0.000,0.107,0.022,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.003682,0.067823,0.054281,0,0
29,2880,0,0.1,28.242,27.925,0.317,0.011,0.000,0.144,0.082,0.080,0.0,0.0,0.0,0.0,0.0,0.0,0.003627,0.067823,0.053476,0,0
30,2880,0,0.1,30.251,30.048,0.203,0.011,0.000,0.067,0.040,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.003593,0.067823,0.052970,0,0
31,960,0,0.0,20.348,20.215,0.133,0.004,0.000,0.037,0.012,0.080,0.0,0.0,0.0,0.0,0.0,0.0,0.003583,0.067823,0.052827,0,0
32,2880,0,0.1,26.967,26.670,0.297,0.011,0.000,0.148,0.042,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.003568,0.067823,0.052602,0,0
33,3840,0,0.1,37.279,36.947,0.332,0.015,0.000,0.162,0.051,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.003577,0.067823,0.052739,0,0
34,4800,0,0.2,41.092,40.599,0.493,0.018,0.001,0.300,0.062,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.003434,0.067823,0.050626,0,0
