# platform=macos kernel=darwin host=gyeongjinui-MacBookAir-3.local device=unknown git_commit=40af12c sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,noise_floor,ref_peak,noise_ratio,sync_lost,beat_missed
1,2880,0,0.1,24.335,24.268,0.067,0.010,0.000,0.046,0.000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.000523,0.065163,0.008029,0,0
2,960,0,0.0,1.767,1.738,0.029,0.003,0.001,0.016,0.000,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003837,0.064739,0.059276,0,0
3,960,0,0.0,0.057,0.022,0.035,0.004,0.000,0.022,0.000,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.003213,0.064314,0.049953,0,0
4,960,0,0.0,0.515,0.453,0.062,0.004,0.000,0.020,0.027,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.002103,0.063890,0.032914,0,0
5,960,0,0.0,0.092,0.021,0.071,0.004,0.000,0.022,0.028,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.001961,0.063468,0.030897,0,0
6,960,0,0.0,0.095,0.026,0.069,0.005,0.000,0.026,0.024,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.001571,0.063048,0.024920,0,0
7,960,0,0.0,0.095,0.030,0.065,0.003,0.000,0.028,0.012,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.001526,0.062632,0.024364,0,0
8,960,0,0.0,0.088,0.016,0.072,0.003,0.000,0.030,0.021,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.001029,0.062218,0.016532,0,0
9,960,0,0.0,0.095,0.022,0.073,0.004,0.000,0.036,0.012,0.020,0.0,0.0,0.0,0.0,0.0,0.0,0.000946,0.061807,0.015312,0,0
10,960,0,0.0,0.097,0.013,0.084,0.003,0.000,0.042,0.014,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.000795,0.061398,0.012955,0,0
11,960,0,0.0,0.111,0.026,0.085,0.004,0.000,0.041,0.011,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.000774,0.060994,0.012688,0,0
12,960,0,0.0,0.121,0.024,0.097,0.004,0.000,0.045,0.023,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.000742,0.060613,0.012240,0,0
13,960,0,0.0,0.120,0.028,0.092,0.004,0.000,0.048,0.012,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.001254,0.072822,0.017222,0,0
14,960,0,0.0,0.127,0.033,0.094,0.004,0.000,0.048,0.012,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.001562,0.072355,0.021594,0,0
15,960,0,0.0,0.155,0.033,0.122,0.004,0.000,0.054,0.013,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.001526,0.071879,0.021230,0,0
16,960,0,0.0,0.128,0.017,0.111,0.003,0.000,0.057,0.014,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.001415,0.071404,0.019822,0,0
17,960,0,0.0,0.139,0.025,0.114,0.004,0.000,0.059,0.012,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.001254,0.070932,0.017681,0,0
18,960,0,0.0,0.168,0.036,0.132,0.003,0.000,0.070,0.011,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.000958,0.070463,0.013595,0,0
19,960,0,0.0,0.160,0.027,0.133,0.003,0.000,0.073,0.012,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.000920,0.069997,0.013149,0,0
20,960,0,0.0,0.162,0.021,0.141,0.003,0.000,0.081,0.012,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.000880,0.069534,0.012650,0,0
21,960,0,0.0,1.515,1.354,0.161,0.004,0.000,0.087,0.025,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.000795,0.069074,0.011516,0,0
22,960,0,0.0,2.424,2.269,0.155,0.003,0.000,0.093,0.012,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.000725,0.068618,0.010565,0,0
23,960,0,0.0,2.726,2.562,0.164,0.003,0.001,0.099,0.012,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.000678,0.068164,0.009952,0,0
24,960,0,0.0,4.583,4.401,0.182,0.008,0.000,0.109,0.012,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.000655,0.067713,0.009671,0,0
25,960,0,0.0,5.073,4.965,0.108,0.003,0.000,0.042,0.011,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.000655,0.067300,0.009730,0,0
26,960,0,0.0,5.030,4.941,0.089,0.003,0.001,0.014,0.013,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.000655,0.067479,0.009704,0,0
27,960,0,0.0,8.732,8.559,0.173,0.003,0.001,0.097,0.015,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.000725,0.067774,0.010696,0,0
28,1920,0,0.1,11.425,11.115,0.310,0.007,0.000,0.220,0.022,0.060,0.0,0.0,0.0,0.0,0.0,0.0,0.000595,0.067774,0.008783,0,0
29,960,0,0.0,4.334,4.147,0.187,0.003,0.001,0.105,0.012,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.000543,0.067774,0.008010,0,0
30,960,0,0.0,8.938,8.740,0.198,0.004,0.000,0.112,0.012,0.070,0.0,0.0,0.0,0.0,0.0,0.0,0.000521,0.067774,0.007691,0,0
31,1920,0,0.1,15.546,15.228,0.318,0.007,0.000,0.214,0.023,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.000518,0.067774,0.007637,0,0
32,1920,0,0.1,12.475,12.178,0.297,0.007,0.000,0.191,0.025,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.000518,0.067774,0.007637,0,0
33,960,0,0.0,7.749,7.546,0.203,0.003,0.001,0.110,0.012,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.000533,0.067774,0.007865,0,0
34,1920,0,0.1,14.653,14.421,0.232,0.007,0.000,0.090,0.058,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.000537,0.067774,0.007923,0,0
35,1920,0,0.1,11.629,11.378,0.251,0.007,0.000,0.134,0.027,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.000587,0.067774,0.008657,0,0
36,960,0,0.0,7.836,7.632,0.204,0.003,0.001,0.099,0.015,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.000569,0.067774,0.008390,0,0
37,1920,0,0.1,14.923,14.612,0.311,0.007,0.000,0.193,0.026,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.000499,0.067774,0.007364,0,0
38,1920,0,0.1,16.019,15.684,0.335,0.007,0.000,0.203,0.030,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.000456,0.067774,0.006733,0,0
39,1920,0,0.1,19.366,19.019,0.347,0.008,0.000,0.215,0.028,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.000460,0.067774,0.006793,0,0
40,2880,0,0.1,22.024,21.623,0.401,0.010,0.001,0.243,0.046,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.000460,0.067774,0.006793,0,0
41,1920,0,0.1,12.639,12.408,0.231,0.007,0.000,0.097,0.025,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.000490,0.067774,0.007232,0,0
42,1920,0,0.1,15.603,15.262,0.341,0.007,0.000,0.191,0.034,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.000522,0.067774,0.007696,0,0
43,1920,0,0.1,17.466,17.123,0.343,0.008,0.000,0.193,0.030,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.000511,0.067774,0.007532,0,0
44,1920,0,0.1,19.516,19.146,0.370,0.008,0.000,0.200,0.033,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.000450,0.067774,0.006639,0,0
45,2880,0,0.1,29.024,28.589,0.435,0.010,0.000,0.258,0.038,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.000461,0.067774,0.006798,0,0
46,3840,0,0.1,30.626,30.225,0.401,0.014,0.000,0.201,0.053,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.000505,0.060998,0.008271,0,0
47,1920,0,0.1,18.229,17.859,0.370,0.011,0.000,0.184,0.031,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.000502,0.060998,0.008232,0,0
48,2880,0,0.1,20.882,20.442,0.440,0.010,0.000,0.258,0.037,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.000426,0.060998,0.006984,0,0
49,1920,0,0.1,19.329,18.860,0.469,0.007,0.000,0.176,0.141,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.000419,0.060998,0.006875,0,0
50,2880,0,0.1,23.347,22.921,0.426,0.011,0.000,0.222,0.040,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.000419,0.060998,0.006875,0,0
51,2880,0,0.1,21.001,20.611,0.390,0.010,0.000,0.175,0.046,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.000458,0.061662,0.007424,0,0
52,1920,0,0.1,19.680,19.309,0.371,0.007,0.000,0.174,0.026,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.000490,0.061662,0.007941,0,0
53,2880,0,0.1,28.095,27.609,0.486,0.010,0.001,0.261,0.042,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.000422,0.061662,0.006841,0,0
54,2880,0,0.1,27.785,27.276,0.509,0.011,0.000,0.278,0.038,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.000451,0.061662,0.007316,0,0
55,1920,0,0.1,20.228,19.919,0.309,0.006,0.001,0.088,0.027,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.000454,0.061662,0.007362,0,0
56,960,0,0.0,10.421,10.205,0.216,0.003,0.000,0.030,0.013,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.000462,0.060998,0.007580,0,0
57,1920,0,0.1,18.054,17.629,0.425,0.007,0.000,0.206,0.026,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.000495,0.060998,0.008108,0,0
58,2880,0,0.1,20.729,20.165,0.564,0.010,0.001,0.317,0.043,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.000454,0.060998,0.007443,0,0
59,1920,0,0.1,19.489,19.079,0.410,0.007,0.000,0.194,0.024,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.000437,0.060998,0.007156,0,0
60,2880,0,0.1,29.602,29.075,0.527,0.011,0.000,0.287,0.038,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.000443,0.060998,0.007263,0,0
61,2880,0,0.1,27.763,27.351,0.412,0.011,0.000,0.140,0.043,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.000464,0.061662,0.007523,0,0
62,2880,0,0.1,27.127,26.590,0.537,0.010,0.000,0.285,0.039,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.061662,0.007912,0,0
63,2880,0,0.1,25.354,24.780,0.574,0.011,0.000,0.304,0.037,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.000451,0.061662,0.007316,0,0
64,1920,0,0.1,19.009,18.551,0.458,0.007,0.001,0.205,0.028,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.000449,0.061662,0.007276,0,0
65,2880,0,0.1,28.557,28.097,0.460,0.010,0.000,0.184,0.038,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.000460,0.061662,0.007459,0,0
66,2880,0,0.1,22.372,21.849,0.523,0.010,0.000,0.220,0.037,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.000475,0.061761,0.007692,0,0
67,2880,0,0.1,21.314,20.698,0.616,0.014,0.000,0.302,0.043,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.000444,0.061761,0.007194,0,0
68,2880,0,0.1,25.507,24.983,0.524,0.010,0.001,0.240,0.039,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.000428,0.061761,0.006927,0,0
69,1920,0,0.1,18.495,18.048,0.447,0.007,0.000,0.162,0.026,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.000423,0.061761,0.006848,0,0
70,2880,0,0.1,27.102,26.681,0.421,0.010,0.000,0.109,0.046,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.000449,0.061860,0.007253,0,0
71,1920,0,0.1,19.661,19.211,0.450,0.007,0.000,0.159,0.027,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.000475,0.061860,0.007680,0,0
72,2880,0,0.1,22.334,21.790,0.544,0.011,0.000,0.238,0.039,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.000449,0.061860,0.007265,0,0
73,1920,0,0.1,15.528,15.058,0.470,0.007,0.000,0.157,0.030,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.000429,0.061860,0.006935,0,0
74,1920,0,0.1,18.088,17.628,0.460,0.007,0.000,0.156,0.028,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.000449,0.061860,0.007265,0,0
75,2880,0,0.1,23.165,22.731,0.434,0.011,0.000,0.113,0.039,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.000465,0.061761,0.007530,0,0
76,2880,0,0.1,22.083,21.104,0.979,0.011,0.000,0.224,0.460,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.000488,0.061761,0.007898,0,0
77,2880,0,0.1,20.780,20.195,0.585,0.010,0.001,0.230,0.047,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.000440,0.061761,0.007123,0,0
78,1920,0,0.1,19.297,18.785,0.512,0.007,0.001,0.180,0.029,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.000440,0.061761,0.007116,0,0
79,2880,0,0.1,22.753,22.190,0.563,0.011,0.000,0.209,0.044,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.000440,0.061761,0.007116,0,0
80,1920,0,0.1,20.060,19.623,0.437,0.007,0.000,0.093,0.029,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.000466,0.061860,0.007526,0,0
