# platform=debian kernel=linux host=lg1 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1986,0,0.1,0.199,0.042,0.157,0.015,0.000,0.113,0.000,0.026,0.0,0.0,0.0,0.0,0.0,0.0
2,2048,0,0.1,0.214,0.035,0.179,0.016,0.000,0.135,0.000,0.027,0.0,0.0,0.0,0.0,0.0,0.0
3,2048,0,0.1,1.215,0.037,1.178,0.022,0.001,0.311,0.725,0.116,0.0,0.0,0.0,0.0,0.0,0.0
4,2048,0,0.1,1.943,0.054,1.889,0.022,0.000,0.478,1.134,0.250,0.0,0.0,0.0,0.0,0.0,0.0
5,2048,0,0.1,2.126,0.060,2.066,0.022,0.000,0.572,1.109,0.359,0.0,0.0,0.0,0.0,0.0,0.0
6,2048,0,0.1,2.358,0.055,2.303,0.029,0.001,0.649,1.109,0.513,0.0,0.0,0.0,0.0,0.0,0.0
7,2048,0,0.1,7.134,4.264,2.870,0.028,0.001,0.957,1.241,0.635,0.0,0.0,0.0,0.0,0.0,0.0
8,2048,0,0.1,3.301,0.058,3.243,0.023,0.000,1.354,1.077,0.785,0.0,0.0,0.0,0.0,0.0,0.0
9,2048,0,0.1,6.626,2.768,3.858,0.030,0.001,1.818,1.084,0.917,0.0,0.0,0.0,0.0,0.0,0.0
10,2048,0,0.1,13.333,8.885,4.448,0.028,0.001,2.289,1.083,1.037,0.0,0.0,0.0,0.0,0.0,0.0
11,4096,0,0.1,31.022,24.199,6.823,0.056,0.001,3.190,2.262,1.304,0.0,0.0,0.0,0.0,0.0,0.0
12,4096,0,0.1,31.310,22.538,8.772,0.057,0.001,4.876,2.217,1.612,0.0,0.0,0.0,0.0,0.0,0.0
13,4096,0,0.1,39.722,30.419,9.303,0.131,0.000,5.646,2.162,1.354,0.0,0.0,0.0,0.0,0.0,0.0
14,6144,0,0.2,65.634,53.231,12.403,0.060,0.001,8.476,2.279,1.577,0.0,0.0,0.0,0.0,0.0,0.0
15,2048,0,0.1,47.378,44.117,3.261,0.016,0.000,0.978,0.739,1.528,0.0,0.0,0.0,0.0,0.0,0.0
16,8192,0,0.3,85.185,70.044,15.141,0.194,0.002,7.547,4.547,2.839,0.0,0.0,0.0,0.0,0.0,0.0
17,12288,0,0.4,140.334,124.120,16.214,0.141,0.001,6.003,6.375,3.683,0.0,0.0,0.0,0.0,0.0,0.0
18,2048,0,0.1,124.509,118.856,5.653,0.024,0.000,0.930,1.073,3.624,0.0,0.0,0.0,0.0,0.0,0.0
19,16384,0,0.6,188.761,161.360,27.401,0.187,0.003,13.658,8.793,4.749,0.0,0.0,0.0,0.0,0.0,0.0
20,2048,0,0.1,174.068,167.314,6.754,0.024,0.000,0.730,1.086,4.911,0.0,0.0,0.0,0.0,0.0,0.0
21,2048,0,0.1,160.818,152.507,8.311,0.023,0.000,2.260,1.080,4.945,0.0,0.0,0.0,0.0,0.0,0.0
22,16384,0,0.6,218.376,184.172,34.204,0.203,0.001,18.502,9.521,5.970,0.0,0.0,0.0,0.0,0.0,0.0
23,4096,0,0.1,207.322,195.892,11.430,0.046,0.000,3.223,2.108,6.050,0.0,0.0,0.0,0.0,0.0,0.0
24,16384,0,0.6,180.508,152.051,28.457,0.203,0.001,12.527,8.535,7.180,0.0,0.0,0.0,0.0,0.0,0.0
25,2048,0,0.1,169.926,159.053,10.873,0.023,0.001,2.477,1.084,7.284,0.0,0.0,0.0,0.0,0.0,0.0
26,18432,0,0.6,221.233,184.856,36.377,0.225,0.001,18.122,9.561,8.457,0.0,0.0,0.0,0.0,0.0,0.0
27,4096,0,0.1,214.145,199.857,14.288,0.047,0.001,3.436,2.124,8.679,0.0,0.0,0.0,0.0,0.0,0.0
28,2048,0,0.1,206.568,192.740,13.828,0.023,0.000,4.058,1.066,8.680,0.0,0.0,0.0,0.0,0.0,0.0
29,18432,0,0.6,243.902,203.056,40.846,0.209,0.001,20.560,9.665,10.405,0.0,0.0,0.0,0.0,0.0,0.0
30,4096,0,0.1,237.285,222.580,14.705,0.047,0.000,2.454,2.135,10.065,0.0,0.0,0.0,0.0,0.0,0.0
31,2048,0,0.1,228.488,215.948,12.540,0.023,0.000,1.265,1.072,10.179,0.0,0.0,0.0,0.0,0.0,0.0
32,18432,0,0.6,247.188,209.653,37.535,0.221,0.002,16.247,9.532,11.518,47.1,96429.4,2047.0,15.8,93840.3,5950.0
33,4096,0,0.1,241.710,225.929,15.781,0.047,0.000,1.905,2.138,11.687,47.1,96429.4,2047.0,15.8,93840.3,5950.0
34,2048,0,0.1,232.340,220.388,11.952,0.023,0.001,3.243,0.800,7.882,47.1,96429.4,2047.0,15.8,93840.3,5950.0
35,14336,0,0.5,196.980,159.951,37.029,0.174,0.003,16.864,7.468,12.512,47.1,96429.4,2047.0,15.8,93840.3,5950.0
36,4096,0,0.1,198.521,175.658,22.863,0.046,0.000,7.755,2.130,12.928,47.1,96429.4,2047.0,15.8,93840.3,5950.0
37,2048,0,0.1,192.581,177.190,15.391,0.024,0.000,1.193,1.086,13.087,47.1,96429.4,2047.0,15.8,93840.3,5950.0
38,2048,0,0.1,187.437,171.265,16.172,0.023,0.000,2.047,1.066,13.034,47.1,96429.4,2047.0,15.8,93840.3,5950.0
39,12288,0,0.4,201.891,170.945,30.946,0.148,0.002,10.422,6.396,13.967,47.1,96429.4,2047.0,15.8,93840.3,5950.0
40,4096,0,0.1,200.355,180.553,19.802,0.047,0.000,3.441,2.115,14.195,47.1,96429.4,2047.0,15.8,93840.3,5950.0
41,2048,0,0.1,196.416,178.995,17.421,0.024,0.000,2.187,1.068,14.140,47.1,96429.4,2047.0,15.8,93840.3,5950.0
42,2048,0,0.1,194.801,175.107,19.694,0.023,0.001,4.139,1.063,14.466,47.1,96429.4,2047.0,15.8,93840.3,5950.0
43,2048,0,0.1,192.073,173.471,18.602,0.023,0.000,2.458,1.067,15.051,47.1,96429.4,2047.0,15.8,93840.3,5950.0
44,2048,0,0.1,190.885,170.752,20.133,0.022,0.000,4.510,1.067,14.531,47.1,96429.4,2047.0,15.8,93840.3,5950.0
45,14336,0,0.5,263.547,223.639,39.908,0.160,0.002,16.867,7.438,15.433,47.1,96429.4,2047.0,15.8,93840.3,5950.0
46,4096,0,0.1,268.802,242.226,26.576,0.046,0.000,8.508,2.112,15.906,47.1,96429.4,2047.0,15.8,93840.3,5950.0
47,2048,0,0.1,265.889,247.486,18.403,0.023,0.001,1.243,1.090,16.042,47.1,96429.4,2047.0,15.8,93840.3,5950.0
48,2048,0,0.1,263.795,244.558,19.237,0.025,0.000,2.089,1.065,16.056,47.1,96429.4,2047.0,15.8,93840.3,5950.0
49,2048,0,0.1,260.414,242.548,17.866,0.023,0.001,2.416,1.128,14.296,47.1,96429.4,2047.0,15.8,93840.3,5950.0
50,2048,0,0.1,252.213,239.084,13.129,0.016,0.000,1.198,0.731,11.181,47.1,96429.4,2047.0,15.8,93840.3,5950.0
51,16384,0,0.6,286.632,241.108,45.524,0.196,0.002,19.392,8.528,17.397,47.1,96429.4,2047.0,15.8,93840.3,5950.0
52,4096,0,0.1,288.981,265.334,23.647,0.046,0.001,3.991,2.120,17.487,47.1,96429.4,2047.0,15.8,93840.3,5950.0
53,2048,0,0.1,286.891,267.569,19.322,0.024,0.001,0.432,1.069,17.794,47.1,96429.4,2047.0,15.8,93840.3,5950.0
54,2048,0,0.1,285.972,265.698,20.274,0.024,0.001,1.288,1.067,17.891,47.1,96429.4,2047.0,15.8,93840.3,5950.0
55,2048,0,0.1,278.975,264.725,14.250,0.024,0.000,0.291,1.081,12.850,47.1,96429.4,2047.0,15.8,93840.3,5950.0
56,2048,0,0.1,272.929,257.663,15.266,0.017,0.001,1.895,0.777,12.573,47.1,96429.4,2047.0,15.8,93840.3,5950.0
57,12288,0,0.4,238.710,202.273,36.437,0.152,0.001,11.233,6.348,18.697,47.1,96429.4,2047.0,15.8,93840.3,5950.0
58,4096,0,0.1,241.425,217.391,24.034,0.047,0.001,2.828,2.140,19.016,47.1,96429.4,2047.0,15.8,93840.3,5950.0
59,2048,0,0.1,242.750,220.142,22.608,0.024,0.000,2.157,1.065,19.357,47.1,96429.4,2047.0,15.8,93840.3,5950.0
60,2048,0,0.1,244.509,221.496,23.013,0.024,0.000,2.416,1.083,19.487,47.1,96429.4,2047.0,15.8,93840.3,5950.0
61,2048,0,0.1,246.443,223.219,23.224,0.024,0.001,2.726,1.075,19.396,47.1,96429.4,2047.0,15.8,93840.3,5950.0
62,2048,0,0.1,247.570,225.190,22.380,0.024,0.000,1.844,1.069,19.442,47.1,96429.4,2047.0,15.8,93840.3,5950.0
63,2048,0,0.1,250.537,226.234,24.303,0.023,0.000,3.445,1.063,19.771,47.1,96429.4,2047.0,15.8,93840.3,5950.0
64,2048,0,0.1,253.660,229.249,24.411,0.023,0.001,3.482,1.066,19.836,47.1,96429.4,2047.0,15.8,93840.3,5950.0
65,2048,0,0.1,255.214,232.317,22.897,0.023,0.001,1.854,1.068,19.950,47.1,96429.4,2047.0,15.8,93840.3,5950.0
66,2048,0,0.1,257.113,233.913,23.200,0.024,0.000,1.994,1.087,20.093,47.1,96429.4,2047.0,15.8,93840.3,5950.0
67,4096,0,0.1,260.901,235.729,25.172,0.047,0.000,2.868,2.145,20.112,47.1,96429.4,2047.0,15.8,93840.3,5950.0
68,2048,0,0.1,264.742,239.621,25.121,0.023,0.000,3.605,1.069,20.422,47.1,96429.4,2047.0,15.8,93840.3,5950.0
69,18432,0,0.6,470.267,419.753,50.514,0.221,0.002,19.094,9.510,21.679,47.1,96429.4,2047.0,15.8,93840.3,5950.0
70,6144,0,0.2,478.274,449.003,29.271,0.070,0.000,4.209,3.190,21.798,47.1,96429.4,2047.0,15.8,93840.3,5950.0
71,2048,0,0.1,482.311,456.984,25.327,0.023,0.001,2.029,1.059,22.213,47.1,96429.4,2047.0,15.8,93840.3,5950.0
72,2048,0,0.1,485.273,461.043,24.230,0.023,0.000,0.974,1.062,22.169,47.1,96429.4,2047.0,15.8,93840.3,5950.0
73,2048,0,0.1,489.477,463.960,25.517,0.024,0.000,2.021,1.068,22.403,47.1,96429.4,2047.0,15.8,93840.3,5950.0
74,2048,0,0.1,492.299,468.174,24.125,0.023,0.000,0.470,1.107,22.525,47.1,96429.4,2047.0,15.8,93840.3,5950.0
75,4096,0,0.1,501.073,470.988,30.085,0.045,0.001,5.109,2.143,22.785,47.1,96429.4,2047.0,15.8,93840.3,5950.0
76,2048,0,0.1,504.881,479.775,25.106,0.023,0.001,1.577,1.065,22.438,47.1,96429.4,2047.0,15.8,93840.3,5950.0
77,2048,0,0.1,502.453,483.572,18.881,0.017,0.000,1.929,0.769,16.165,47.1,96429.4,2047.0,15.8,93840.3,5950.0
78,2048,0,0.1,499.418,481.142,18.276,0.017,0.000,1.442,0.746,16.071,47.1,96429.4,2047.0,15.8,93840.3,5950.0
79,2048,0,0.1,495.390,478.111,17.279,0.016,0.001,0.322,0.752,16.186,47.1,96429.4,2047.0,15.8,93840.3,5950.0
80,2048,0,0.1,491.957,474.059,17.898,0.017,0.001,0.895,0.747,16.236,46.9,96016.0,2048.0,15.8,93840.3,5950.0
81,2048,0,0.1,489.638,470.698,18.940,0.016,0.001,1.582,0.751,16.588,46.9,96016.0,2048.0,24.3,97669.2,4012.0
82,14336,0,0.5,430.280,395.794,34.486,0.127,0.000,12.042,5.254,17.056,46.9,96016.0,2048.0,24.3,97669.2,4012.0
83,4096,0,0.1,432.441,408.964,23.477,0.035,0.000,4.660,1.494,17.285,46.9,96016.0,2048.0,24.3,97669.2,4012.0
84,2048,0,0.1,431.791,411.141,20.650,0.017,0.000,2.780,0.751,17.102,46.9,96016.0,2048.0,24.3,97669.2,4012.0
85,2048,0,0.1,429.756,410.488,19.268,0.015,0.001,0.984,0.748,17.518,46.9,96016.0,2048.0,24.3,97669.2,4012.0
86,2048,0,0.1,437.398,408.446,28.952,0.016,0.000,1.906,0.857,26.169,46.9,96016.0,2048.0,24.3,97669.2,4012.0
87,2048,0,0.1,445.311,416.094,29.217,0.023,0.000,2.764,1.079,25.347,46.9,96016.0,2048.0,24.3,97669.2,4012.0
88,2048,0,0.1,453.085,423.987,29.098,0.023,0.001,2.994,1.084,24.995,46.9,96016.0,2048.0,24.3,97669.2,4012.0
89,4096,0,0.1,460.658,431.770,28.888,0.046,0.000,1.218,2.126,25.495,46.9,96016.0,2048.0,24.3,97669.2,4012.0
90,2048,0,0.1,466.821,439.369,27.452,0.023,0.001,0.535,1.066,25.826,46.9,96016.0,2048.0,24.3,97669.2,4012.0
91,2048,0,0.1,475.524,445.534,29.990,0.023,0.001,3.448,1.068,25.449,46.9,96016.0,2048.0,24.3,97669.2,4012.0
92,4096,0,0.1,487.297,454.168,33.129,0.046,0.000,4.868,2.130,26.083,46.9,96016.0,2048.0,24.3,97669.2,4012.0
93,2048,0,0.1,496.143,466.008,30.135,0.023,0.000,2.747,1.064,26.298,46.9,96016.0,2048.0,24.3,97669.2,4012.0
94,4096,0,0.1,506.984,474.815,32.169,0.047,0.000,3.453,2.141,26.527,46.9,96016.0,2048.0,24.3,97669.2,4012.0
95,2048,0,0.1,516.100,485.610,30.490,0.024,0.000,2.744,1.074,26.647,46.9,96016.0,2048.0,24.3,97669.2,4012.0
96,4096,0,0.1,529.237,494.819,34.418,0.046,0.001,5.308,2.119,26.941,46.9,96016.0,2048.0,24.3,97669.2,4012.0
97,2048,0,0.1,538.791,507.984,30.807,0.023,0.000,2.736,1.068,26.977,46.9,96016.0,2048.0,24.3,97669.2,4012.0
98,4096,0,0.1,551.248,517.488,33.760,0.046,0.001,4.406,2.133,27.173,46.9,96016.0,2048.0,24.3,97669.2,4012.0
99,2048,0,0.1,562.559,529.922,32.637,0.023,0.000,4.153,1.065,27.394,46.9,96016.0,2048.0,24.3,97669.2,4012.0
100,4096,0,0.1,577.333,541.291,36.042,0.048,0.001,6.568,2.130,27.293,46.9,96016.0,2048.0,24.3,97669.2,4012.0
101,4096,0,0.1,593.339,558.695,34.644,0.046,0.001,4.873,2.113,27.608,46.9,96016.0,2048.0,24.3,97669.2,4012.0
102,2048,0,0.1,604.058,572.061,31.997,0.023,0.001,2.865,1.073,28.033,46.9,96016.0,2048.0,24.3,97669.2,4012.0
103,18432,0,0.6,791.096,730.907,60.189,0.221,0.001,21.070,9.595,29.292,46.9,96016.0,2048.0,24.3,97669.2,4012.0
104,6144,0,0.2,808.832,769.821,39.011,0.070,0.000,6.009,3.168,29.758,46.9,96016.0,2048.0,24.3,97669.2,4012.0
105,2048,0,0.1,821.106,787.503,33.603,0.025,0.000,2.267,1.086,30.221,46.9,96016.0,2048.0,24.3,97669.2,4012.0
106,4096,0,0.1,836.159,799.773,36.386,0.047,0.001,4.722,2.127,29.487,46.9,96016.0,2048.0,24.3,97669.2,4012.0
107,4096,0,0.1,850.669,814.806,35.863,0.046,0.001,3.517,2.122,30.175,46.9,96016.0,2048.0,24.3,97669.2,4012.0
108,2048,0,0.1,862.069,829.420,32.649,0.024,0.000,0.932,1.063,30.628,46.9,96016.0,2048.0,24.3,97669.2,4012.0
109,4096,0,0.1,879.175,840.763,38.412,0.048,0.000,5.755,2.125,30.481,46.9,96016.0,2048.0,24.3,97669.2,4012.0
110,4096,0,0.1,897.191,857.877,39.314,0.047,0.001,6.354,2.147,30.763,46.9,96016.0,2048.0,24.3,97669.2,4012.0
