# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1920,0,0.1,0.286,0.184,0.102,0.007,0.001,0.057,0.000,0.030,0.0,0.0,0.0,0.0,0.0,0.0
2,1920,0,0.1,2.217,2.111,0.106,0.009,0.001,0.051,0.000,0.042,0.0,0.0,0.0,0.0,0.0,0.0
3,1920,0,0.1,0.171,0.032,0.139,0.007,0.000,0.060,0.045,0.026,0.0,0.0,0.0,0.0,0.0,0.0
4,1920,0,0.1,0.277,0.033,0.244,0.007,0.001,0.088,0.118,0.029,0.0,0.0,0.0,0.0,0.0,0.0
5,1920,0,0.1,0.318,0.036,0.282,0.007,0.001,0.127,0.109,0.037,0.0,0.0,0.0,0.0,0.0,0.0
6,1920,0,0.1,0.360,0.039,0.321,0.007,0.001,0.181,0.082,0.049,0.0,0.0,0.0,0.0,0.0,0.0
7,1920,0,0.1,0.492,0.041,0.451,0.007,0.000,0.207,0.182,0.054,0.0,0.0,0.0,0.0,0.0,0.0
8,1920,0,0.1,0.435,0.052,0.383,0.008,0.002,0.230,0.078,0.065,0.0,0.0,0.0,0.0,0.0,0.0
9,1920,0,0.1,0.452,0.044,0.408,0.008,0.000,0.254,0.072,0.072,0.0,0.0,0.0,0.0,0.0,0.0
10,1920,0,0.1,0.520,0.035,0.485,0.007,0.001,0.315,0.074,0.086,0.0,0.0,0.0,0.0,0.0,0.0
11,1920,0,0.1,0.621,0.035,0.586,0.008,0.000,0.406,0.074,0.097,0.0,0.0,0.0,0.0,0.0,0.0
12,1920,0,0.1,0.789,0.034,0.755,0.008,0.000,0.515,0.126,0.104,0.0,0.0,0.0,0.0,0.0,0.0
13,1920,0,0.1,0.848,0.032,0.816,0.008,0.000,0.618,0.071,0.118,0.0,0.0,0.0,0.0,0.0,0.0
14,1920,0,0.1,0.382,0.032,0.350,0.008,0.000,0.141,0.075,0.125,0.0,0.0,0.0,0.0,0.0,0.0
15,1920,0,0.1,0.859,0.034,0.825,0.008,0.000,0.611,0.071,0.134,0.0,0.0,0.0,0.0,0.0,0.0
16,1920,0,0.1,0.911,0.036,0.875,0.008,0.000,0.651,0.075,0.140,0.0,0.0,0.0,0.0,0.0,0.0
17,1920,0,0.1,0.849,0.035,0.814,0.007,0.001,0.581,0.072,0.151,0.0,0.0,0.0,0.0,0.0,0.0
18,1920,0,0.1,0.848,0.033,0.815,0.007,0.001,0.576,0.069,0.160,0.0,0.0,0.0,0.0,0.0,0.0
19,1920,0,0.1,0.852,0.041,0.811,0.007,0.001,0.563,0.067,0.172,0.0,0.0,0.0,0.0,0.0,0.0
20,1920,0,0.1,0.571,0.033,0.538,0.007,0.000,0.232,0.119,0.178,0.0,0.0,0.0,0.0,0.0,0.0
21,1920,0,0.1,0.661,0.036,0.625,0.008,0.000,0.364,0.075,0.178,0.0,0.0,0.0,0.0,0.0,0.0
22,1920,0,0.1,1.042,0.067,0.975,0.008,0.002,0.631,0.103,0.230,0.0,0.0,0.0,0.0,0.0,0.0
23,1920,0,0.1,0.987,0.036,0.951,0.008,0.000,0.647,0.077,0.217,0.0,0.0,0.0,0.0,0.0,0.0
24,1920,0,0.1,1.092,0.074,1.018,0.008,0.002,0.671,0.085,0.252,0.0,0.0,0.0,0.0,0.0,0.0
25,1920,0,0.1,1.142,0.052,1.090,0.008,0.001,0.683,0.140,0.257,0.0,0.0,0.0,0.0,0.0,0.0
26,1920,0,0.1,0.893,0.054,0.839,0.008,0.001,0.458,0.101,0.269,0.0,0.0,0.0,0.0,0.0,0.0
27,1920,0,0.1,0.764,0.068,0.696,0.008,0.001,0.305,0.108,0.271,0.0,0.0,0.0,0.0,0.0,0.0
28,1920,0,0.1,1.029,0.067,0.962,0.008,0.001,0.595,0.081,0.277,0.0,0.0,0.0,0.0,0.0,0.0
29,1920,0,0.1,1.013,0.056,0.957,0.008,0.001,0.549,0.111,0.288,0.0,0.0,0.0,0.0,0.0,0.0
30,1920,0,0.1,0.947,0.059,0.888,0.008,0.000,0.503,0.081,0.294,0.0,0.0,0.0,0.0,0.0,0.0
31,1920,0,0.1,1.415,0.385,1.030,0.008,0.002,0.471,0.105,0.441,0.0,0.0,0.0,0.0,0.0,0.0
32,1920,0,0.1,0.896,0.067,0.829,0.008,0.001,0.399,0.090,0.331,0.0,0.0,0.0,0.0,0.0,0.0
33,1920,0,0.1,1.050,0.140,0.910,0.008,0.002,0.118,0.152,0.627,0.0,0.0,0.0,0.0,0.0,0.0
34,1920,0,0.1,1.044,0.063,0.981,0.008,0.000,0.518,0.092,0.361,0.0,0.0,0.0,0.0,0.0,0.0
35,1920,0,0.1,1.021,0.067,0.954,0.008,0.001,0.513,0.088,0.342,0.0,0.0,0.0,0.0,0.0,0.0
36,1920,0,0.1,1.031,0.059,0.972,0.008,0.000,0.502,0.090,0.369,0.0,0.0,0.0,0.0,0.0,0.0
37,1920,0,0.1,1.072,0.057,1.015,0.008,0.000,0.497,0.157,0.350,0.0,0.0,0.0,0.0,0.0,0.0
