# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
1,1920,0,0.1,0.208,0.109,0.099,0.008,0.000,0.059,0.001,0.026,0.0,0.0,0.0,0.0,0.0,0.0
2,1920,0,0.1,4.017,3.939,0.078,0.008,0.001,0.045,0.000,0.023,0.0,0.0,0.0,0.0,0.0,0.0
3,1920,0,0.1,0.204,0.038,0.166,0.007,0.001,0.060,0.072,0.025,0.0,0.0,0.0,0.0,0.0,0.0
4,1920,0,0.1,0.276,0.039,0.237,0.007,0.001,0.090,0.108,0.030,0.0,0.0,0.0,0.0,0.0,0.0
5,1920,0,0.1,0.325,0.031,0.294,0.007,0.001,0.127,0.119,0.038,0.0,0.0,0.0,0.0,0.0,0.0
6,1920,0,0.1,0.420,0.063,0.357,0.008,0.001,0.180,0.108,0.060,0.0,0.0,0.0,0.0,0.0,0.0
7,1920,0,0.1,0.491,0.040,0.451,0.008,0.000,0.212,0.174,0.057,0.0,0.0,0.0,0.0,0.0,0.0
8,1920,0,0.1,0.453,0.058,0.395,0.008,0.000,0.231,0.082,0.073,0.0,0.0,0.0,0.0,0.0,0.0
9,1920,0,0.1,0.476,0.047,0.429,0.007,0.001,0.260,0.075,0.085,0.0,0.0,0.0,0.0,0.0,0.0
10,1920,0,0.1,0.531,0.036,0.495,0.008,0.000,0.324,0.079,0.084,0.0,0.0,0.0,0.0,0.0,0.0
11,1920,0,0.1,0.636,0.043,0.593,0.007,0.001,0.412,0.079,0.093,0.0,0.0,0.0,0.0,0.0,0.0
12,1920,0,0.1,0.777,0.033,0.744,0.008,0.001,0.514,0.117,0.103,0.0,0.0,0.0,0.0,0.0,0.0
13,1920,0,0.1,0.856,0.030,0.826,0.020,0.001,0.617,0.074,0.113,0.0,0.0,0.0,0.0,0.0,0.0
14,1920,0,0.1,0.449,0.069,0.380,0.008,0.001,0.142,0.109,0.119,0.0,0.0,0.0,0.0,0.0,0.0
15,1920,0,0.1,0.862,0.044,0.818,0.008,0.001,0.609,0.072,0.127,0.0,0.0,0.0,0.0,0.0,0.0
