frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.6,9.6,1.3,4.4,89.2,2333.9,16214.9,84.8,2400.0,917510
200,29.0,10.0,3.3,3.8,99.2,2324.1,16214.9,87.0,2400.0,917510
300,29.2,10.4,1.7,4.5,99.2,2321.2,16214.9,87.0,2400.0,917510
400,27.9,9.0,5.0,1.0,95.7,2330.1,16214.9,85.9,2400.0,917510
500,28.8,9.6,3.5,1.7,99.1,2327.3,16214.9,87.0,2400.0,917510
600,28.7,9.0,4.3,1.1,99.3,2319.8,16214.9,86.5,2400.0,917510
700,29.0,10.1,5.3,1.2,99.2,2318.8,16214.9,85.9,2400.0,917510
800,28.9,9.9,4.5,2.7,99.3,2316.8,16214.9,85.9,2400.0,917510
900,28.5,8.4,5.1,1.8,99.3,2314.2,16214.9,86.5,2400.0,917510
1000,29.1,10.0,4.2,3.0,98.9,2312.4,16214.9,86.5,2400.0,917510
1100,28.9,9.4,4.6,1.8,99.4,2310.8,16214.9,87.0,2400.0,917510
1200,28.4,94.1,4.2,7.8,6.8,2308.7,16214.9,87.0,2400.0,917510
1300,28.7,99.3,3.8,10.1,2.0,2306.9,16214.9,87.0,2400.0,917510
