# platform=debian kernel=linux host=lg1 device=rpi1 git_commit=bd7d1f3 sample_rate=96000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,sync_locked,bph,rate_spd,beat_error_ms,amplitude_deg
1,1920,0,0.1,0.154,0.082,0.072,0.008,0.000,0.051,0.000,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
2,1920,0,0.1,0.130,0.047,0.083,0.008,0.001,0.049,0.000,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
3,1920,0,0.1,0.205,0.037,0.168,0.008,0.001,0.066,0.067,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
4,1920,0,0.1,0.301,0.039,0.262,0.008,0.001,0.105,0.115,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
5,1920,0,0.1,0.344,0.039,0.305,0.008,0.000,0.137,0.119,0.040,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
6,1920,0,0.1,0.376,0.038,0.338,0.008,0.001,0.182,0.094,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
7,1920,0,0.1,0.496,0.041,0.455,0.008,0.000,0.224,0.163,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
8,1920,0,0.1,0.502,0.062,0.440,0.009,0.000,0.249,0.099,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
9,1920,0,0.1,0.499,0.043,0.456,0.008,0.001,0.278,0.084,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
10,1920,0,0.1,0.577,0.040,0.537,0.008,0.001,0.351,0.086,0.090,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
11,1920,0,0.1,0.671,0.040,0.631,0.008,0.000,0.445,0.078,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
12,1920,0,0.1,1.140,0.044,1.096,0.012,0.000,0.782,0.155,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
13,1920,0,0.1,1.296,0.042,1.254,0.011,0.001,0.979,0.104,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
14,1920,0,0.1,0.553,0.045,0.508,0.012,0.001,0.210,0.110,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
15,1920,0,0.1,1.263,0.048,1.215,0.012,0.000,0.911,0.106,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
16,1920,0,0.1,1.333,0.051,1.282,0.012,0.000,0.960,0.111,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
17,1920,0,0.1,1.259,0.068,1.191,0.011,0.001,0.897,0.108,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
18,1920,0,0.1,0.905,0.038,0.867,0.008,0.000,0.602,0.080,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
19,1920,0,0.1,0.893,0.041,0.852,0.008,0.000,0.597,0.079,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
20,1920,0,0.1,0.587,0.045,0.542,0.008,0.001,0.243,0.114,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
21,1920,0,0.1,0.700,0.033,0.667,0.008,0.001,0.390,0.077,0.190,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
22,1920,0,0.1,1.004,0.070,0.934,0.008,0.000,0.610,0.084,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
23,1920,0,0.1,0.931,0.036,0.895,0.007,0.001,0.596,0.076,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
24,1920,0,0.1,1.004,0.057,0.947,0.008,0.000,0.634,0.078,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
25,1920,0,0.1,1.071,0.070,1.001,0.008,0.001,0.632,0.108,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
26,1920,0,0.1,0.876,0.062,0.814,0.009,0.001,0.409,0.097,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
27,1920,0,0.1,0.741,0.057,0.684,0.008,0.001,0.291,0.116,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
28,1920,0,0.1,1.100,0.060,1.040,0.008,0.001,0.627,0.110,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
29,1920,0,0.1,1.073,0.058,1.015,0.008,0.001,0.607,0.099,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
30,1920,0,0.1,1.071,0.070,1.001,0.008,0.001,0.564,0.096,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
31,1920,0,0.1,0.990,0.057,0.933,0.009,0.004,0.528,0.085,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
32,1920,0,0.1,1.399,0.460,0.939,0.008,0.001,0.472,0.102,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,1920,0,0.1,0.596,0.050,0.546,0.008,0.001,0.111,0.087,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
34,1920,0,0.1,1.057,0.052,1.005,0.009,0.001,0.556,0.105,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
35,1920,0,0.1,1.054,0.049,1.005,0.008,0.002,0.535,0.094,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
36,1920,0,0.1,1.052,0.048,1.004,0.009,0.001,0.533,0.109,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
37,1920,0,0.1,1.098,0.049,1.049,0.008,0.001,0.529,0.141,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
38,1920,0,0.1,1.104,0.058,1.046,0.008,0.001,0.540,0.095,0.400,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
39,1920,0,0.1,0.694,0.048,0.646,0.009,0.001,0.133,0.092,0.410,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
40,1920,0,0.1,1.072,0.057,1.015,0.008,0.002,0.497,0.107,0.400,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
41,1920,0,0.1,1.136,0.053,1.083,0.009,0.001,0.518,0.100,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
42,1920,0,0.1,1.156,0.039,1.117,0.008,0.001,0.534,0.108,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
43,1920,0,0.1,1.204,0.053,1.151,0.009,0.000,0.602,0.105,0.434,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
44,1920,0,0.1,1.185,0.039,1.146,0.008,0.001,0.603,0.089,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
45,1920,0,0.1,0.866,0.052,0.814,0.008,0.001,0.253,0.089,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
46,1920,0,0.1,1.109,0.060,1.049,0.008,0.001,0.434,0.137,0.465,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
47,1920,0,0.1,1.333,0.057,1.276,0.009,0.001,0.668,0.086,0.510,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
48,1920,0,0.1,1.337,0.054,1.283,0.008,0.002,0.667,0.107,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
49,1920,0,0.1,1.388,0.048,1.340,0.008,0.001,0.640,0.139,0.550,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
50,1920,0,0.1,1.253,0.043,1.210,0.008,0.001,0.601,0.100,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
51,1920,0,0.1,1.121,0.055,1.066,0.008,0.002,0.415,0.111,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
52,1920,0,0.1,0.922,0.052,0.870,0.009,0.001,0.272,0.080,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
53,1920,0,0.1,1.239,0.059,1.180,0.008,0.001,0.604,0.077,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
54,1920,0,0.1,1.310,0.059,1.251,0.008,0.001,0.594,0.110,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
55,1920,0,0.1,1.329,0.054,1.275,0.008,0.002,0.657,0.083,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
56,1920,0,0.1,1.445,0.047,1.398,0.008,0.001,0.697,0.093,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
57,1920,0,0.1,1.337,0.039,1.298,0.008,0.001,0.574,0.103,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
58,1920,0,0.1,0.926,0.068,0.858,0.008,0.001,0.149,0.103,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
59,1920,0,0.1,1.371,0.061,1.310,0.009,0.001,0.594,0.108,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
60,1920,0,0.1,1.341,0.054,1.287,0.008,0.001,0.583,0.084,0.610,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
61,1920,0,0.1,8.408,6.700,1.708,0.011,0.001,0.746,0.116,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
62,1920,0,0.1,15.040,13.319,1.721,0.012,0.000,0.704,0.135,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
63,3840,0,0.1,23.325,21.381,1.944,0.023,0.001,0.830,0.220,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
64,1920,0,0.1,9.752,8.086,1.666,0.012,0.001,0.647,0.124,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
65,1920,0,0.1,9.439,8.109,1.330,0.009,0.001,0.549,0.109,0.661,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
66,1920,0,0.1,9.535,8.153,1.382,0.008,0.001,0.601,0.106,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
67,1920,0,0.1,8.925,7.616,1.309,0.008,0.001,0.522,0.095,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
68,1920,0,0.1,8.731,7.393,1.338,0.009,0.000,0.521,0.096,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
69,1920,0,0.1,8.618,7.376,1.242,0.009,0.000,0.213,0.162,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
70,1920,0,0.1,11.075,9.375,1.700,0.012,0.000,0.492,0.217,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
71,1920,0,0.1,18.042,16.249,1.793,0.012,0.001,0.695,0.122,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
72,3840,0,0.1,25.986,23.258,2.728,0.024,0.000,1.460,0.225,1.017,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
73,1920,0,0.1,13.595,11.677,1.918,0.012,0.001,0.776,0.112,1.013,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
74,1920,0,0.1,16.776,15.391,1.385,0.009,0.000,0.348,0.100,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
75,1920,0,0.1,16.205,14.907,1.298,0.008,0.001,0.256,0.119,0.913,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
76,1920,0,0.1,15.309,13.756,1.553,0.009,0.001,0.633,0.089,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
77,1920,0,0.1,15.094,13.541,1.553,0.009,0.000,0.613,0.088,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
78,1920,0,0.1,15.533,13.994,1.539,0.009,0.001,0.599,0.114,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
79,1920,0,0.1,16.641,14.585,2.056,0.012,0.001,0.830,0.114,1.097,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
80,3840,0,0.1,25.389,23.086,2.303,0.023,0.001,0.938,0.221,1.117,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
81,1920,0,0.1,12.674,10.569,2.105,0.012,0.001,0.850,0.107,1.133,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
