# platform=macos kernel=darwin host=jimin318lee.local sample_rate=48000
frame,samples,block_drops,buffer_pct,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf,replot_count,fg_wait_ms
1,480,0,0.0,0.055,0.019,0.036,0.005,0.000,0.031,0.000,70.500,0.0,0.0,0.0,0.0,0.0,0.0,1,4.217
2,480,0,0.0,0.039,0.015,0.024,0.002,0.000,0.022,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.632
3,480,0,0.0,0.033,0.014,0.019,0.002,0.000,0.017,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.077
4,480,0,0.0,0.063,0.014,0.049,0.002,0.000,0.047,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,4.237
5,480,0,0.0,0.052,0.012,0.040,0.002,0.000,0.038,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.019
6,480,0,0.0,0.045,0.009,0.036,0.002,0.000,0.034,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.067
7,480,0,0.0,0.052,0.009,0.043,0.002,0.000,0.041,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.034
8,480,0,0.0,0.068,0.015,0.053,0.002,0.000,0.051,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041
9,480,0,0.0,0.070,0.013,0.057,0.001,0.000,0.055,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.037
10,480,0,0.0,0.068,0.016,0.052,0.001,0.000,0.050,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.060
11,480,0,0.0,0.074,0.020,0.054,0.002,0.000,0.052,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.043
12,480,0,0.0,0.073,0.011,0.062,0.002,0.000,0.060,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.036
13,480,0,0.0,0.079,0.013,0.066,0.002,0.000,0.064,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.029
14,480,0,0.0,0.083,0.012,0.071,0.003,0.000,0.067,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.121
15,480,0,0.0,0.080,0.010,0.070,0.002,0.000,0.068,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.042
16,480,0,0.0,0.086,0.016,0.070,0.002,0.000,0.067,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.057
17,480,0,0.0,0.084,0.011,0.073,0.002,0.000,0.071,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.040
18,480,0,0.0,0.124,0.028,0.096,0.002,0.000,0.094,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.072
19,480,0,0.0,0.114,0.019,0.095,0.006,0.000,0.089,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.053
20,480,0,0.0,0.098,0.013,0.085,0.002,0.000,0.083,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.043
21,480,0,0.0,0.107,0.011,0.096,0.002,0.000,0.093,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.039
22,480,0,0.0,0.117,0.024,0.093,0.002,0.000,0.090,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.061
23,480,0,0.0,0.098,0.010,0.088,0.002,0.000,0.086,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.704
24,480,0,0.0,0.108,0.012,0.096,0.002,0.000,0.094,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.355
25,480,0,0.0,0.104,0.007,0.097,0.002,0.000,0.095,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.722
26,480,0,0.0,0.118,0.009,0.109,0.002,0.000,0.107,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,10.454
27,480,0,0.0,0.134,0.017,0.117,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,0.452
28,480,0,0.0,0.127,0.011,0.116,0.001,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,5.828
29,480,0,0.0,0.116,0.010,0.106,0.002,0.000,0.103,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,11.086
30,480,0,0.0,0.121,0.007,0.114,0.001,0.000,0.113,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,1.097
31,480,0,0.0,0.061,0.023,0.038,0.002,0.000,0.036,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,6.964
32,480,0,0.0,0.076,0.012,0.064,0.001,0.000,0.063,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,13.069
33,480,0,0.0,0.127,0.014,0.113,0.002,0.000,0.111,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,3.048
34,480,0,0.0,0.134,0.017,0.117,0.002,0.000,0.115,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,1,9.093
